RID,Capacity,Price,long,lat,rent
133,138,1078552.986,113.8832089,22.78014068,13013
134,2,2444216.611,113.9232246,22.49075521,23235
135,17,2025088.837,113.8740527,22.59011904,20571
136,3,2056010.302,114.2172984,22.70310102,23520
137,15,1260201.339,114.1314078,22.61571589,14416
138,19,1794872.713,114.0496003,22.59798946,19939
139,13,2359676.908,113.9203572,22.53052668,22432
140,3,920601.6279,114.1052288,22.69936491,10531
141,16,1071887.162,114.1182255,22.67187027,12262
142,7,2004098.371,114.1157085,22.55960862,18079
143,9,2105431.811,114.1643086,22.56319397,18993
144,8,2373958.336,113.9192187,22.51529625,22568
145,2,2019664.184,114.1022167,22.54203109,18219
146,26,1523113.816,114.0374198,22.63386006,16921
147,9,3396422.129,114.0822683,22.55456271,35106
148,10,1448145.866,113.8257284,22.65217284,14711
149,1,886477.9942,114.1038279,22.60815141,10141
150,2,1192179.108,114.0755723,22.65681014,13638
151,11,4191288.405,113.931892,22.51493316,39845
152,10,3090844.401,113.889128,22.49985091,29384
153,15,1448413.228,114.1185954,22.59768455,16570
154,3,1292434.753,114.0211054,22.66759528,14358
155,9,1288297.132,114.2424108,22.59416598,13245
156,21,2246245.281,114.0186815,22.63417359,24955
157,11,1036188.277,114.1928299,22.64789934,11854
158,4,3264929.191,114.1237946,22.57070825,29455
159,21,1394696.808,114.1207023,22.53944976,12582
160,4,859228.186,114.2576682,22.72897917,9830
161,3,1300625.89,114.0264507,22.53920301,13444
162,16,1118810.96,114.331894,22.68824122,12094
163,54,1602688.481,113.7721529,22.6885906,16282
164,19,1631129.575,113.8347229,22.78113656,16571
165,2,2676380.638,113.9923464,22.54206556,27665
166,37,1536890.373,113.9188922,22.57944395,15613
167,6,3076073.341,113.9348085,22.54579039,29245
168,49,1517425.839,114.0154736,22.65448952,16859
169,23,1306279.676,113.9151198,22.77292533,15763
170,28,1577297.456,114.2307736,22.72322821,18046
171,3,2695718.534,113.9140583,22.49114579,25629
172,2,2781870.756,113.8984836,22.57376001,28262
173,1,1871481.051,113.9120693,22.54601377,17793
174,7,4579028.743,113.936328,22.49790164,43535
175,19,3359493.063,113.9234447,22.53452262,31941
176,31,1777492.784,114.037073,22.61509883,19749
177,2,2621863.232,113.9653754,22.56215852,24928
178,22,1758349.109,114.0960048,22.62649671,20118
179,3,2095307.908,114.0238058,22.68184804,23280
180,46,854977.5069,114.1998898,22.724382,9782
181,17,2572454.034,113.9248777,22.5101007,24458
182,1,3323488.603,113.9787226,22.59837117,31599
183,7,3226601.023,114.011517,22.53943617,33355
184,2,4012817.067,113.8852022,22.48394619,38153
185,5,1999039.482,114.1081865,22.54774988,18036
186,5,2402968.656,114.016779,22.52876707,24841
187,2,2628122.971,113.892157,22.60307552,26702
188,31,1807374.508,113.8035446,22.67359443,18363
189,1,1818663.291,114.1170722,22.6153073,20808
190,17,2809447.905,113.9072826,22.56269528,28544
191,3,2223044.599,113.9410532,22.59262983,21137
192,48,2418852.271,113.8493022,22.59437716,24576
193,32,1051204.312,114.2990902,22.72391568,12027
194,14,1668532.625,114.0825265,22.54407702,17249
195,16,2710489.594,113.9062106,22.53650882,25772
196,28,4874449.952,113.9496693,22.55122213,46348
197,26,1411460.936,114.0278292,22.66347045,15683
198,16,1064389.373,114.2599286,22.7221789,12179
199,1,1931613.193,114.0899097,22.55059307,19969
200,3,2218128.294,114.1364108,22.58071642,20014
201,1,2464496.193,114.1358098,22.561895,22237
202,39,1582748.613,113.8507985,22.7636276,16081
203,3,785580.0558,114.2631808,22.70374803,8989
204,19,2290129.474,113.8971125,22.55337372,23269
205,39,948019.6448,114.2288876,22.70270774,10847
206,2,4737817.642,113.9439369,22.52534943,45050
207,6,2522790.161,114.0927183,22.56881571,22763
208,4,1900767.319,114.1211318,22.57900281,17151
209,5,1345968.318,114.2475063,22.57044047,13841
210,8,1477923.196,113.8170674,22.69635996,15017
211,5,2873373.121,114.0018187,22.5381909,29706
212,31,1785392.752,114.0283921,22.6298931,19839
213,25,1838476.555,113.8778201,22.58583875,18680
214,54,2958150.247,113.8845256,22.55733132,30058
215,5,3194241.824,113.8951576,22.48580812,30374
216,2,1758349.109,114.0679432,22.6297239,20120
217,2,1984757.849,114.1320955,22.57547664,17909
218,1,807060.7604,114.1281667,22.69269459,9235
219,7,1243916.92,114.2771994,22.76753352,14234
220,8,682003.7782,114.310415,22.67057615,7374
221,0,2048709.99,114.2915428,22.61076659,21069
222,1,2208806.525,114.0639037,22.53085766,22836
223,38,4472694.887,113.8957434,22.53233885,42532
224,11,2109472.499,114.0509316,22.56414593,21810
225,7,1901435.354,114.0755021,22.54166278,19659
226,43,1509931.296,113.9396419,22.74453187,18225
227,3,1046417.184,114.1518706,22.62661899,11974
228,15,2906313.502,113.8452861,22.57255575,29533
229,53,1448515.786,113.9337326,22.76402951,17484
230,15,1833361.997,113.8930961,22.58007421,18630
231,4,682003.7782,114.3697374,22.74835856,7374
232,31,1437794.163,114.0634647,22.71861803,15978
233,3,617342.3765,114.3971072,22.61991195,7023
234,40,898961.3508,113.8828341,22.76829712,10851
235,19,1472962.605,114.2341293,22.73357275,16856
236,15,1928215.035,114.1219544,22.54206436,17400
237,39,1887652.347,113.8577667,22.58392266,19182
238,2,886604.9116,114.3410788,22.69204305,9587
239,2,3301332.013,113.8998265,22.51094629,31395
240,26,1488353.957,114.0166391,22.71416863,16540
241,20,3179997.325,113.9075557,22.52137828,30241
242,33,3054912.171,113.8728022,22.55872702,31044
243,4,2011989.374,114.1073572,22.57132398,18157
244,8,2683409.317,113.9574537,22.57223028,25519
245,1,1937738.199,114.2320571,22.54991148,19929
246,7,2271883.115,114.0506499,22.51219737,23491
247,8,2223807.389,114.0478585,22.52515452,22994
248,46,836335.8922,114.2021686,22.69935561,9571
249,31,2281510.737,114.0045131,22.64230583,25356
250,6,2167970.209,114.0419765,22.55608436,22417
251,18,2292267.533,113.9149808,22.52972851,21800
252,52,1173767.076,114.2579837,22.68510514,13433
253,12,2459009.622,114.021714,22.53828784,25426
254,6,2009059.619,114.1060249,22.6145958,22993
255,11,1403549.242,114.1270158,22.60668351,16063
256,1,1201814.738,114.2735858,22.73120711,13754
257,119,1059337.54,113.8936399,22.76805679,12788
258,9,1261224.23,114.2469667,22.71532731,14434
259,2,2532032.697,114.0614564,22.56609884,26182
260,2,1110963.578,114.2380233,22.56195234,11427
261,17,2820657.087,113.9254412,22.49806383,26826
262,19,1267361.574,114.1103352,22.68648221,14504
263,26,2590082.034,114.1180708,22.5549898,23376
264,64,1466530.631,113.8288835,22.685504,14904
265,17,1742866.559,113.8651559,22.57054362,17712
266,25,1693264.554,113.8988418,22.56670695,17208
267,2,1361578.502,113.8178167,22.73212112,13837
268,4,1443584.232,113.8634262,22.60339678,14671
269,14,1082218.358,114.2202649,22.67212728,12386
270,12,933490.0507,114.2494805,22.73784483,10684
271,4,2694211.854,114.0306166,22.56827822,27860
272,18,2537433.009,114.0301127,22.52337261,26239
273,3,3840475.72,113.9213225,22.54220448,36527
274,10,2376363.35,114.0574293,22.51811619,24574
275,8,2723537.364,113.9740354,22.55746462,25904
276,10,3114847.374,113.9206787,22.50698449,29626
277,1,2886958.81,114.0339235,22.5440893,29854
278,6,2584677.24,114.0636539,22.57488868,26728
279,17,1834087.711,113.7913371,22.73468193,18640
280,6,4449312.989,114.0102744,22.55383282,46011
281,2,2022524.092,114.0382302,22.57611433,20915
282,77,2096508.353,113.8522069,22.6141377,21308
283,1,1404814.586,114.1535431,22.55858495,12679
284,12,922328.9191,114.3685244,22.73435966,9975
285,12,2358815.169,114.0617118,22.54164569,24393
286,17,905258.2674,114.2138858,22.7535822,10361
287,2,3396422.129,114.0085987,22.56776331,35124
288,9,3294529.465,114.0763185,22.56025754,34070
289,1,966308.2121,114.3062945,22.60154936,9940
290,5,2082005.263,114.1281226,22.54491842,18792
291,14,1513633.855,114.0294284,22.74531504,16824
292,15,2856326.611,114.1278678,22.55997049,25781
293,56,1227574.324,114.3573882,22.68876983,13276
294,1,2165219.107,114.034427,22.52841219,22392
295,5,1410586.909,114.11241,22.54223148,12732
296,6,2953116.572,113.9750147,22.53820363,28089
297,19,2193071.66,114.1167624,22.56310054,19795
298,12,2462245.387,113.9109412,22.57815609,25027
299,12,2768635.107,113.874393,22.59737933,28141
300,81,2114939.195,113.883369,22.59400215,21497
301,23,2154033.557,114.0725556,22.53082869,22277
302,14,2812388.582,114.0225579,22.60437566,31262
303,1,1092539.325,114.1093755,22.60445194,12506
304,4,2658790.883,113.9599954,22.53801419,25291
305,10,1262247.121,114.1190419,22.62508865,14448
306,5,2170457.993,114.1635844,22.5675223,19591
307,5,1799148.505,114.1755856,22.56097261,16240
308,14,2533900.407,113.8736143,22.57363596,25756
309,35,1842272.521,114.0463786,22.62462621,20479
310,2,898503.5797,113.8331494,22.77119285,9133
311,8,3755246.701,113.9402698,22.58446982,35721
312,18,2823968.266,113.9321822,22.52669891,26863
313,16,1138784.214,114.2999413,22.76820291,13035
314,3,1877066.654,114.0988199,22.55814228,19413
315,16,2234110.93,114.0542598,22.60673817,24835
316,33,1598953.508,114.0430051,22.67646734,17774
317,24,1263679.168,114.2325281,22.72728864,14465
318,34,2409470.183,114.1248603,22.59405869,27582
319,3,1750365.537,114.0961268,22.57251783,15800
320,10,2978830.526,113.9084027,22.53064115,28337
321,51,1586313.56,114.0521542,22.71887003,17634
322,9,1483134.684,114.2122946,22.72380437,16978
323,4,1868032.171,114.0976528,22.53908736,19320
324,6,3103769.079,113.9294287,22.54876079,29525
325,39,1506721.387,113.816067,22.77399148,15316
326,0,2041880.957,114.2209081,22.5614386,21007
327,11,1165072.505,114.2484599,22.73174,13337
328,5,3660544.267,114.0864798,22.54670254,37861
329,4,2652605.683,114.0665254,22.54984625,27436
330,40,2275190.763,114.041099,22.60560235,25293
331,1,2271050.546,113.9615437,22.55189256,21604
332,8,3053916.75,113.9680421,22.58692978,29052
333,5,1594431.313,114.2296525,22.5578889,16404
334,7,1658993.265,113.9940942,22.66668585,18443
335,1,1031741.733,114.2609681,22.59084355,10615
336,8,1710612.584,113.8825324,22.575215,17389
337,6,1077103.905,114.1354574,22.69815314,12330
338,14,3031162.088,114.0204046,22.53807139,31352
339,21,525379.467,114.0380729,22.65203364,5840
340,7,2750252.819,114.0327179,22.56052807,28447
341,51,1062527.712,114.1281902,22.61384109,12164
342,10,1814211.835,114.0284261,22.61262518,20169
343,2,1535182.802,114.0436235,22.56713422,15879
344,11,2584677.24,114.03412,22.55356374,26735
345,6,1283660.678,114.1171629,22.58668779,11588
346,8,3803548.068,113.9371832,22.50632542,36185
347,21,1074967.86,114.3411705,22.68281434,11628
348,33,1425154.214,114.0423111,22.69632602,15844
349,12,2244499.148,114.0431475,22.5291419,23216
350,1,2174738.592,114.1325554,22.54460362,19633
351,8,1814286.074,113.8938829,22.55817388,18444
352,7,3807979.387,113.9464051,22.5290985,36228
353,5,2825823.212,113.9917714,22.53415387,29230
354,20,2982058.63,114.0504754,22.52944558,30846
355,40,1689539.807,114.0217343,22.65356868,18784
356,15,2450053.915,113.9174436,22.5158805,23310
357,4,3133311.2,113.9691535,22.55644475,29810
358,24,1316460.328,114.1101877,22.61879456,15072
359,12,1449700.968,113.9046918,22.5834555,14738
360,43,815920.8409,114.4135457,22.63002625,9287
361,1,1105703.929,114.1738584,22.64970683,12659
362,43,1405196.177,113.8722775,22.78509022,16969
363,10,2108442.323,113.9035763,22.56325293,21436
364,23,2688333.004,113.9767135,22.5617285,25577
365,1,853090.8418,114.1467551,22.61262755,9767
366,35,1598778.16,114.219348,22.69336585,18305
367,8,4283607.533,113.9245668,22.48259769,40756
368,19,2660530.668,114.0451706,22.51174816,27522
369,3,1892542.121,113.9236458,22.52457026,18006
370,3,932876.3162,114.1194332,22.69858259,10681
371,3,1327194.612,114.0116897,22.67376115,14756
372,12,1658775.839,113.8600693,22.61680203,16864
373,8,2395447.493,113.9523377,22.58285798,22791
374,26,1433402.708,114.248107,22.5904246,14749
375,6,1911782.714,114.2178435,22.7323655,21889
376,2,2490518.415,113.9248626,22.49505083,23696
377,15,3483429.263,113.8866185,22.54924298,35417
378,20,3489663.034,113.9137794,22.55581774,33203
379,10,2946711.605,113.8138057,22.65911917,29960
380,28,3043946.284,114.007117,22.60084288,28962
381,1,3404507.87,113.9082453,22.48228251,32393
382,66,1443017.192,113.9243591,22.73817724,17427
383,6,1768276.311,114.1139303,22.5495494,15966
384,6,1003455.774,114.2651399,22.71444255,11489
385,17,2148791.276,114.029352,22.64951895,23893
386,5,1860114.605,114.1077031,22.54312701,16795
387,16,1799776.182,114.2301449,22.7142685,20608
388,1,2339930.778,114.1572376,22.564784,21128
389,39,1632857.467,113.8270988,22.77309735,16602
390,19,1374765.098,114.1366585,22.61360187,15741
391,3,2508041.554,114.1284211,22.58563509,22646
392,33,1516793.842,114.0224392,22.63876677,16866
393,66,1629649.355,113.8886117,22.77684509,19682
394,1,2632941.527,113.979212,22.54353797,25053
395,15,1114950.86,114.2229894,22.70499103,12766
396,12,1789300.763,113.8797414,22.57248396,18193
397,11,1322597.672,114.1363146,22.61920252,15144
398,13,1190644.772,114.2618871,22.72814276,13633
399,7,1277688.146,114.0156186,22.64755367,14207
400,27,1129736.549,114.4024605,22.6380323,12860
401,4,2153270.742,114.1023868,22.54818169,19443
402,2,1474156.861,114.2247438,22.55792041,15170
403,3,2636634.292,113.9687953,22.56660558,25089
404,14,3077919.723,113.9197434,22.52402639,29288
405,17,2285793.107,113.8455531,22.62289282,23242
406,1,1006524.446,114.0565715,22.63708957,11525
407,2,1974170.363,114.0785614,22.54044272,20425
408,15,2246258.949,113.9150355,22.58923228,22841
409,4,1901701.267,114.1425122,22.54792195,17172
410,3,1230637.645,113.9412351,22.76133931,14864
411,33,2891317.464,113.9256338,22.51572657,27513
412,2,2842805.322,114.0726867,22.53441951,29412
413,54,1256866.716,114.2084736,22.70857754,14392
414,13,3599215.065,113.9122957,22.51269682,34250
415,8,2043162.582,113.8086356,22.70191858,20776
416,8,2436049.671,114.1295402,22.57343432,21998
417,16,893628.0002,114.2749632,22.69678964,10233
418,18,1012661.791,114.1029863,22.59680773,11596
419,11,4480555.006,113.9338951,22.50164756,42638
420,1,2154561.586,113.9164422,22.54071179,20503
421,10,1801310.519,114.056674,22.62875668,20628
422,4,850605.2174,114.124439,22.66141297,9740
423,18,1161369.64,114.2657518,22.75309329,13299
424,4,2505857.368,113.8355095,22.59032396,25482
425,26,1172396.971,114.3239581,22.68326099,12686
426,1,2377495.491,114.0805432,22.56153818,24599
427,105,2087171.339,113.8746316,22.55197004,21224
428,5,2756196.558,114.0939211,22.55454265,28518
429,12,1956928.194,114.1049696,22.5579356,17672
430,37,1778599.355,113.8197806,22.67144481,18087
431,11,1199850.788,114.2116775,22.71566268,13740
432,31,1863945.676,113.8268095,22.64682811,18955
433,12,1276567.591,114.0981961,22.61381608,14619
434,1,1265422.735,114.1612636,22.61026465,11427
435,4,1848440.245,114.1506243,22.55492628,16693
436,166,1559232.47,114.0173094,22.62430723,17340
437,29,1560527.929,113.8573938,22.55802078,15869
438,43,1248704.048,114.2625363,22.74366001,14300
439,5,2633216.63,114.1183749,22.57145836,23780
440,15,1696789.452,113.889344,22.56290387,17255
441,1,4571643.212,113.9701652,22.5470668,43508
442,4,1660227.268,113.8962859,22.58179492,16884
443,4,1938507.93,114.0603751,22.52907668,20058
444,1,2186996.669,114.1349006,22.56090918,19751
445,2,675107.8604,114.1655823,22.63742314,7731
446,8,2728953.42,113.908799,22.54103119,25972
447,74,1882088.537,113.8865032,22.57412312,19140
448,4,2132280.102,114.0390147,22.52935351,22064
449,2,1313197.54,113.8533064,22.75537504,13355
450,6,2819030.367,114.0190381,22.52747006,29170
451,19,1687433.149,114.0394543,22.62014133,18767
452,4,2998392.035,114.1218402,22.55305093,27080
453,7,4367798.858,114.0147607,22.54623141,45197
454,1,1920237.86,113.9195592,22.56217377,18275
455,1,3138850.348,113.9604081,22.59344042,29874
456,3,3090744.138,114.0455283,22.54648056,31983
457,10,1856612.297,114.1163164,22.55172093,16768
458,6,1300104.23,114.1122902,22.5393911,11742
459,0,1877984.158,114.2995022,22.61895767,19330
460,2,1901781.286,114.0527146,22.57151037,19680
461,0,3222825.686,114.2996634,22.58772059,33173
462,3,2295403.968,114.0605613,22.57273526,23753
463,33,1315846.593,114.1178066,22.60123914,15071
464,35,1933556.665,113.8897867,22.58338662,19665
465,4,3738924.679,113.9002739,22.48314129,35586
466,7,1431474.188,114.0159932,22.66481946,15921
467,10,2725962.93,114.1042123,22.53916777,24621
468,1,3088998.019,113.8933817,22.5087542,29401
469,46,1428927.16,114.0719223,22.66166336,16366
470,10,1727891.499,113.8213466,22.68751168,17574
471,4,2831693.712,114.1229792,22.56214812,25576
472,13,1948697.197,114.0870308,22.53805308,20166
473,5,1906812.043,114.1083642,22.57636406,17222
474,7,946347.7867,114.2446094,22.74871239,10839
475,33,1503647.188,113.9244198,22.77065499,18166
476,12,2609394.388,114.0056544,22.53746564,27004
477,10,2227983.76,114.125836,22.5670098,20123
478,2,2962366.302,113.8971921,22.59802317,30130
479,61,1481401.986,114.0239956,22.64331109,16478
480,24,1238209.189,114.1298848,22.68634625,14182
481,11,1789035.83,114.069169,22.61745259,20492
482,47,1274865.224,114.0304731,22.6598973,14180
483,21,1673449.181,114.1315695,22.60643929,19168
484,52,1831564.989,113.8236042,22.71840044,18629
485,9,1181438.756,114.1133325,22.60835034,13532
486,6,2437224.976,113.8839037,22.48167429,23199
487,23,1188789.352,113.8474183,22.76878118,12091
488,1,1137894.299,114.10663,22.6041483,13034
489,41,1405451.819,114.144408,22.61981457,16098
490,79,1352828.617,113.9011316,22.78291302,16345
491,0,1877984.158,114.2847063,22.61727035,19332
492,1,2215659.069,113.9441519,22.55910688,21090
493,10,1517969.795,114.0570783,22.61243426,17388
494,4,2635735.719,113.9202953,22.48964389,25089
495,3,4196993.044,113.9270294,22.4862799,39951
496,22,1622959.296,114.0660873,22.62543468,18590
497,1,1608122.836,114.111386,22.53035179,14526
498,33,1832918.959,114.0227262,22.66113226,20389
499,1,966631.7093,114.1014403,22.62834855,11072
500,0,1813689.417,114.0387322,22.56494399,18771
501,5,1436244.556,114.1184995,22.5441583,12973
502,3,2859788.39,114.0284364,22.59933673,31812
503,2,2201563.062,114.0494119,22.72452175,24490
504,6,1069432.224,114.2421034,22.72895213,12250
505,54,1628123.044,113.8016913,22.72411911,16561
506,12,1841932.871,114.1056055,22.55178546,16638
507,6,1026982.26,114.2361822,22.71228411,11764
508,37,1248456.631,114.3337922,22.6956631,13513
509,20,1217863.89,114.3475432,22.66921114,13182
510,10,3461044.104,113.9281487,22.51180739,32947
511,6,4874449.952,113.9137127,22.4855817,46402
512,21,2190252.226,113.9104005,22.56214157,22280
513,9,5641769.615,113.9631976,22.5273602,53707
514,3,4419402.816,113.9779929,22.5540314,42071
515,7,2200587.93,114.1099815,22.53958395,19879
516,12,1500993.906,114.0229049,22.7261621,16698
517,1,2014078.323,114.0607589,22.56084745,20846
518,21,1651864.273,113.8154939,22.76043031,16803
519,42,918292.2719,113.9969301,22.643064,10215
520,3,3945719.525,113.9313764,22.49820515,37562
521,23,3622623.843,114.0858786,22.55626271,37496
522,62,1362925.011,114.3350117,22.70546672,14753
523,45,3054912.171,113.8772696,22.56713794,31077
524,18,1029539.487,114.1312649,22.609293,11794
525,12,2898820.615,113.9201775,22.50354598,27596
526,17,1288842.279,114.266457,22.69397912,14765
527,1,1335076.01,114.2290116,22.5464949,13745
528,2,3159444.952,114.0794825,22.560891,32702
529,2,2013827.004,114.0842514,22.57459896,18193
530,19,1374594.419,114.0459686,22.60518174,15292
531,4,3809087.216,113.9267496,22.52384886,36263
532,54,2035456.186,113.8846552,22.58885046,20707
533,33,1050074.222,113.8245459,22.74361825,10682
534,1,802733.2807,113.9218421,22.59078246,7642
535,7,1503649.326,114.0519623,22.62454193,17226
536,17,1785392.752,114.0348019,22.67808826,19863
537,6,1089378.593,114.1889177,22.6498944,12480
538,15,1969796.309,113.8641131,22.57823681,20039
539,7,4208167.018,114.020688,22.5546845,43559
540,18,1232583.291,114.1222988,22.61457652,14121
541,2,1112762.126,113.8150982,22.68088519,11320
542,4,2330491.755,113.9137305,22.53941897,22187
543,1,1040885.888,114.100237,22.56271802,9403
544,12,2829086.439,114.1376962,22.59014356,25559
545,2,951288.3488,114.2819348,22.73821424,10898
546,6,2498771.061,113.9118059,22.53206835,23790
547,3,927291.333,114.304544,22.77640915,10624
548,10,2548901.812,114.1355471,22.55109677,23028
549,14,2180391.148,114.0126279,22.63442864,24259
550,12,2063471.623,114.0403327,22.59988803,22958
551,18,2210255.665,114.0706314,22.52768003,22879
552,6,2135958.302,114.0265208,22.53258663,22110
553,6,2928362.736,113.9868777,22.56314355,27881
554,15,1907084.444,114.1186598,22.53707709,17230
555,72,1658893.447,114.1335832,22.62485819,19006
556,2,3005833.584,114.0480173,22.51930582,31116
557,2,1564007.97,114.2190045,22.55934086,16104
558,3,2723930.548,114.0704913,22.54506796,28198
559,19,807889.3019,114.2839641,22.75655484,9256
560,10,3954951.438,113.9003681,22.52930743,37656
