OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
763, 113.9173949, 22.69358232, 680181, 0
811, 114.1092149, 22.69924452, 836409.9928003125, 2
221, 114.0718589, 22.62126535, 524331, -4
422, 113.9338704, 22.49890379, 998541.0864156251, 1
388, 113.9625456, 22.5629959, 891222.3130699999, 1
549, 114.3199658, 22.72416385, 1269026, -1
649, 114.0371086, 22.66415043, 508659.960414661, 1
15, 113.8045813, 22.66852381, 621054, -2
531, 114.0074993, 22.58507887, 434883.932790794, 1
670, 114.2434892, 22.60829367, 354320.3159901549, 1
797, 114.0079791, 22.60133834, 879390, -2
386, 113.8897551, 22.77264868, 655389, -6
31, 114.0644572, 22.65490436, 941814, 0
584, 114.1425635, 22.67988803, 383170.5460537497, 2
13, 113.9683733, 22.70019117, 1079761, -2
128, 113.9191977, 22.54583536, 681701, -1
465, 114.055827, 22.52545213, 626430, -2
16, 114.3833801, 22.69048805, 2548987.65, -66
340, 113.9524126, 22.5405666, 997194, 0
906, 114.0610122, 22.63303021, 1049970, -3
870, 114.1908585, 22.6355659, 1096461, -1
308, 114.0012656, 22.72803226, 695036.5910716013, 1
518, 114.1304523, 22.70820346, 583678.4367750001, 2
676, 113.9222223, 22.78389786, 378417.73969445727, 1
700, 114.0065176, 22.55598372, 879318.8399150856, 2
210, 113.863564, 22.77118378, 931710, 0
631, 113.9834399, 22.74001975, 703032, -4
108, 114.4059728, 22.74964726, 734126.212015, 0
786, 113.9700406, 22.55899902, 356310.74748851627, 0
922, 113.922351, 22.5361136, 332074.1135891704, 1
884, 113.9699356, 22.53011123, 415109.10986948194, 0
37, 114.5096038, 22.53158021, 730580, 0
457, 114.1132982, 22.57428937, 1224390.7971179031, -9
114, 114.1622281, 22.57001282, 293083.75072432787, 2
893, 113.8339415, 22.60167939, 543438.7930042007, 1
193, 113.9205092, 22.56157879, 399806.4437690404, 1
262, 113.8961269, 22.51793372, 592591, -1
830, 114.0832859, 22.57238701, 1461252, -2
638, 114.0773215, 22.70524286, 498771.8198631392, 2
194, 113.833333, 22.80163876, 506922.42581699125, 1
544, 113.9234122, 22.52390294, 574464.1437216552, 3
273, 113.7905001, 22.72072576, 355662.48728365253, 2
311, 113.9856891, 22.52621558, 1202172, 0
323, 113.8885023, 22.74840589, 341649.9895485474, 1
23, 113.9185341, 22.74888894, 281689.8704705031, 1
342, 113.9430537, 22.58455382, 713925.5440306936, 1
438, 113.9853128, 22.56103544, 606512.1371313285, 1
423, 114.0512736, 22.65620457, 777346.52006, 2
466, 113.9365428, 22.76215335, 1192140, -1
728, 114.0656862, 22.64385302, 336633.3375503623, 1
45, 114.1423071, 22.6301128, 983043, -1
841, 114.2107963, 22.65930324, 450392.6776987995, 1
274, 114.0818223, 22.57645726, 986391, -1
568, 113.9771094, 22.55295138, 554642, -2
468, 114.0395011, 22.60753726, 629765, -4
812, 114.2835316, 22.72938315, 1394094, -2
925, 114.0091498, 22.59127621, 255359.91862335452, 1
703, 114.0297176, 22.60251452, 891960, 0
320, 114.3983074, 22.73835999, 287619.7082949767, 2
381, 113.9851535, 22.63400409, 312001.8190371192, 0
979, 114.0430529, 22.56731939, 1194876, 0
999, 113.8597157, 22.72651427, 779700, -1
796, 113.8403815, 22.61457115, 190415.17497613336, 1
307, 113.8927351, 22.80211546, 217388.3727499969, 1
588, 113.8282047, 22.73376795, 718152, -3
164, 114.5769004, 22.49474317, 690667.6076259789, 0
409, 114.0211554, 22.71756814, 855708, -2
489, 114.2799684, 22.71391601, 1158780, -2
506, 113.9644245, 22.53364804, 385028.36923132645, 1
270, 114.1209736, 22.57481572, 1482356.7, -8
572, 114.2818029, 22.58864071, 325784.11959459016, 1
103, 113.9401341, 22.68797167, 717580, -1
286, 114.0399778, 22.70672768, 438450.2707087509, 1
608, 114.1351285, 22.5743363, 467279.45433307893, 1
11, 114.0658046, 22.54474181, 995571, -1
46, 114.0923787, 22.56380177, 1282174, -5
498, 114.1092381, 22.55806886, 1315895, -1
497, 114.5229326, 22.65319931, 181166.23817799293, 1
195, 114.115931, 22.58323568, 1084195, -1
173, 114.0558319, 22.6636871, 652400, -3
48, 114.0375051, 22.69082435, 1046040, -1
714, 114.2175072, 22.66480641, 1083605, -2
682, 114.031832, 22.70150831, 425448.69807318953, 2
667, 114.3038386, 22.71690076, 708720, 0
305, 114.2688222, 22.7499474, 529418.1700980557, 1
798, 114.3144354, 22.6722525, 747854.1701665149, 1
687, 113.8612319, 22.60173099, 247879.80307590458, 2
874, 113.8608053, 22.7540776, 484519.8936074806, 2
298, 114.2113013, 22.64339303, 678464.7500673615, 1
610, 114.1212396, 22.61279607, 388319.5901303812, 2
57, 114.3712383, 22.74697943, 1072693, 0
119, 113.8833188, 22.57999628, 827925, -3
491, 113.8108448, 22.66372012, 1016199, -3
783, 114.229344, 22.72458386, 552747.9549354791, 1
82, 114.1080045, 22.61812467, 1286320, -4
737, 114.0083573, 22.75268468, 1136212, -5
767, 113.8563369, 22.74696049, 714110.5537449183, 1
592, 113.9421106, 22.57569068, 782726.6189184375, 0
570, 113.833737, 22.72531168, 344215.0638420225, 2
22, 114.1200256, 22.56292986, 1024550, -1
113, 114.0492451, 22.56662297, 630853, -5
914, 114.3655375, 22.71653167, 383368.4302829192, 2
310, 114.2353191, 22.60937378, 482801.1107458946, 1
527, 114.0999156, 22.65012515, 566866.1719627201, 1
456, 113.9142089, 22.7814563, 402832.60766733845, 1
55, 114.3066361, 22.60150689, 1276382, 0
980, 114.3004647, 22.59594151, 457642.184559098, 2
996, 114.0998616, 22.55693538, 512385, -1
127, 114.0499415, 22.74479642, 614335.2339794171, 0
550, 113.8997526, 22.54463128, 1022412.2283375001, 2
920, 114.146039, 22.55984134, 653404.0167385999, 1
283, 113.9035735, 22.74934921, 443692.81134872214, 1
803, 113.884149, 22.54593081, 695134, -1
156, 114.3300158, 22.79799438, 701341.2910417814, 1
659, 114.1008377, 22.70977353, 1390272, -1
683, 113.9522202, 22.74086001, 1196028, -1
901, 114.0280747, 22.56038858, 2139386.097149297, 3
35, 114.3449352, 22.61164311, 782216.880583284, 1
542, 114.0069626, 22.53846962, 656550, 0
567, 114.0746699, 22.65832693, 976345, -1
260, 113.8519206, 22.76363961, 917763, 0
258, 114.2908189, 22.67684935, 1630624.7764828652, 2
362, 114.0258222, 22.70119786, 1002847.9511137501, 1
73, 113.7961225, 22.72937009, 658300, -1
109, 114.0790509, 22.54727143, 1114329, -4
577, 114.2847691, 22.67326189, 471146.09748668026, 2
876, 114.035203, 22.55718007, 633199, -1
898, 113.7794005, 22.71257294, 640332.3918811476, 1
500, 113.8391301, 22.6959473, 556753.5050589837, 0
605, 113.9945542, 22.65716514, 820752.53553, 1
49, 113.9923093, 22.58984621, 8175827.248958532, 7
321, 114.1061697, 22.60760021, 678672, -2
596, 114.2896898, 22.75949341, 562989.9490180906, 0
890, 114.1354949, 22.56516076, 775060, -2
493, 113.9214564, 22.55194356, 1216872, -1
565, 114.3236032, 22.67782678, 1365188, 0
85, 113.924939, 22.51239945, 858956.994085467, 2
617, 113.8617589, 22.57155632, 628314.5440367548, 0
418, 113.8130811, 22.78087983, 884050.9113412501, 1
376, 114.0938239, 22.71533772, 225050.29236963464, 1
787, 114.0180966, 22.54359192, 334023.56003522815, 1
39, 113.9187309, 22.57620516, 1.0592754183E7, 8
382, 114.1468689, 22.61050373, 621453.0187130829, 2
231, 114.1909831, 22.64747785, 1181088, -2
411, 113.8594129, 22.76057567, 1265072, -3
877, 114.0574009, 22.62520599, 484467.99438473425, 1
865, 114.0383256, 22.73710796, 764399.6174137499, 0
731, 114.3109108, 22.66914078, 1299987, -3
513, 114.0957679, 22.56965336, 1088255, -2
458, 113.9192366, 22.7682002, 449753.2266476931, 1
827, 114.1221481, 22.6011108, 2759447.5290802605, 3
182, 113.8188409, 22.66555661, 1157555, -5
604, 114.021967, 22.61886057, 1135920, -1
777, 113.9381521, 22.7278868, 380452.5057900481, 1
520, 113.8245479, 22.63921669, 176856.87890471984, 1
120, 114.3939362, 22.714358, 371025.30650723854, 1
324, 114.0923412, 22.55686737, 245415.5191357416, 1
726, 113.9743099, 22.68119216, 755757, -2
813, 114.239145, 22.60466459, 1051250, -2
642, 114.1354023, 22.63396417, 179268.05521883973, 2
154, 113.9811375, 22.55455443, 1249488, -2
482, 113.7985327, 22.72284588, 1314686, -1
79, 114.2132152, 22.74822005, 430934.3259104916, 1
147, 114.1528294, 22.6563481, 1270758, 0
78, 113.8380979, 22.76558553, 1236096, -3
943, 113.8637706, 22.57978804, 605123.001676875, 1
91, 114.1354918, 22.55227385, 965312, -1
894, 113.9169801, 22.73931425, 307116.32367108774, 1
892, 113.9180301, 22.68796411, 499125, -1
785, 114.3541312, 22.75877108, 938979, 0
101, 113.8546887, 22.58178721, 693960.0620548506, 2
619, 114.3217029, 22.66619204, 675994, -1
774, 113.8774304, 22.81358574, 669739.8251049317, 2
702, 114.1334528, 22.60298027, 321243.32369426364, 1
680, 114.2508291, 22.73397813, 417342.39865284105, 1
936, 113.9417295, 22.570109, 945525, 0
84, 114.1382922, 22.57066054, 1255720, -1
313, 114.0841587, 22.63955388, 434335.7504623049, 1
587, 114.1074937, 22.54258289, 1239142, -2
658, 113.9608753, 22.57413413, 401536.9409308264, 1
871, 114.1217289, 22.54666103, 784740, -1
374, 114.2642798, 22.72773757, 497430, -2
991, 114.018724, 22.62287191, 556830, -1
396, 113.8680464, 22.6059268, 349700.8663939985, 2
941, 114.0920617, 22.69926695, 1060620, -1
256, 113.9945339, 22.53990409, 1530247.95, -4
185, 114.1283182, 22.59289349, 469505.5582731672, 2
217, 114.2563818, 22.58771104, 1195155, -2
481, 114.0851591, 22.72977703, 416464.5676115204, 2
836, 113.9887818, 22.68911745, 1052905, 0
808, 113.8648179, 22.81262019, 803592, 0
927, 114.1232007, 22.57802189, 1142939, -1
753, 114.0622229, 22.57712159, 421514.99638239347, 0
288, 113.8746304, 22.57015688, 449936.44015109993, 2
476, 114.0209937, 22.53307745, 412000.4676809563, 1
720, 113.7831902, 22.7246244, 944460, 0
963, 113.928491, 22.52050551, 785379, -1
750, 113.8835278, 22.50407615, 1248786, 0
696, 114.0984549, 22.56231854, 892296, -6
770, 113.9238649, 22.572151, 942906, -3
582, 114.3783082, 22.75588524, 450573.4962544496, 1
272, 113.8709278, 22.80842361, 750741.2796875223, 1
234, 114.0730152, 22.53610772, 492772.4757319707, 2
345, 114.0236759, 22.60839755, 408776.26926315756, 1
469, 114.0946258, 22.54159553, 971652.8032497868, 2
956, 114.150488, 22.61391258, 322568.5008705855, 1
524, 113.936617, 22.52098472, 765762, -1
560, 113.9090228, 22.5155996, 1121910, 0
402, 113.8728609, 22.57745346, 716310.9119966193, 2
708, 114.1032037, 22.61256999, 1233950, -3
643, 114.2169694, 22.61605202, 878625, -4
209, 114.0513711, 22.61576577, 522112, -5
887, 114.0373938, 22.57578613, 602642, -1
413, 113.9152116, 22.75330155, 2295326.2408162006, -76
832, 113.7947103, 22.74241702, 562207.56332125, 0
844, 114.1049978, 22.56803444, 4310101.543348871, 5
969, 113.9647448, 22.58175217, 624947.2474904781, 1
