firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
314, 114.0490229, 22.63510087, 6, 4.252252252252252, 12145140
1354, 113.9771094, 22.55295138, 9, 6.378378378378378, 5929718.050117938
1012, 113.9634208, 22.70353264, 2, 2.126126126126126, 1193361
388, 113.9771094, 22.55295138, 11, 8.504504504504505, 1409535
1294, 114.0450657, 22.52313116, 3, 3.189189189189189, 2615008
221, 113.8232585, 22.73145729, 3, 3.189189189189189, 3063435.017829458
287, 113.9152116, 22.75330155, 3, 3.189189189189189, 9181304.963264802
2052, 114.0294245, 22.67435697, 1, 1.063063063063063, 214373.0420687351
784, 114.0426671, 22.54364914, 4, 4.252252252252252, 2724660
1826, 114.0490229, 22.63510087, 8, 5.315315315315315, 8501598
498, 113.9238649, 22.572151, 3, 3.189189189189189, 8486154
1605, 114.2360842, 22.55783509, 3, 3.189189189189189, 8947008.922759833
781, 114.2981812, 22.60276444, 1, 1.063063063063063, 659988
935, 113.9874438, 22.5398186, 3, 3.189189189189189, 5013820
1328, 113.7982229, 22.69370504, 3, 2.126126126126126, 652140
1347, 114.3324378, 22.69398811, 2, 2.126126126126126, 1410400
1415, 113.8552673, 22.79763444, 3, 3.189189189189189, 7561982.847222222
1445, 114.0320786, 22.56121934, 3, 3.189189189189189, 7522053
1792, 113.9332947, 22.58224165, 1, 1.063063063063063, 852800
1253, 114.2860963, 22.71315916, 5, 6.378378378378378, 15264470
1889, 114.0079791, 22.60133834, 5, 4.252252252252252, 2638170
460, 113.9771094, 22.55295138, 9, 7.441441441441442, 3287416
1942, 114.0891034, 22.70606051, 3, 3.189189189189189, 17424069
1277, 114.0891792, 22.54178278, 3, 4.252252252252252, 2903124
1675, 113.7976492, 22.698087, 3, 3.189189189189189, 2548720
233, 114.2741171, 22.72922143, 11, 10.63063063063063, 5704776
1907, 114.2237726, 22.65744553, 3, 3.189189189189189, 1.4519315561048644E7
742, 114.0905531, 22.57029926, 5, 5.315315315315315, 3680544
1017, 113.9045836, 22.80055712, 4, 3.189189189189189, 6026643
24, 114.2240162, 22.70156244, 6, 4.252252252252252, 11576560
880, 114.0946258, 22.54159553, 3, 3.189189189189189, 8657426.4769556
19, 114.1049978, 22.56803444, 73, 52.090090090090094, 24996664
622, 114.1042953, 22.54730183, 3, 3.189189189189189, 5848268.7909543365
946, 114.3215746, 22.70437613, 8, 7.441441441441442, 3650616
85, 114.0802179, 22.53332558, 3, 3.189189189189189, 1243046.5772943753
985, 114.1942113, 22.64106038, 7, 4.252252252252252, 19740240
1565, 113.9211685, 22.48956803, 7, 4.252252252252252, 5961600
1326, 114.0946258, 22.54159553, 3, 3.189189189189189, 8657426.4769556
1873, 114.0574806, 22.53699791, 3, 3.189189189189189, 3187584
858, 113.936609, 22.69505631, 3, 3.189189189189189, 1.7599919962624855E7
1101, 114.3215746, 22.70437613, 10, 8.504504504504505, 4538496
1455, 114.3480704, 22.68461142, 3, 3.189189189189189, 9578999.557104234
1940, 114.3388999, 22.68548423, 3, 3.189189189189189, 3447840
585, 113.9397757, 22.76440181, 3, 3.189189189189189, 5052754.08
189, 114.1340834, 22.58581645, 9, 7.441441441441442, 3443148
567, 114.3403352, 22.679758, 3, 3.189189189189189, 14140464
1611, 114.1132982, 22.57428937, 3, 4.252252252252252, 3673172.3913537096
973, 114.2237726, 22.65744553, 4, 3.189189189189189, 1.9359087414731525E7
986, 114.0305019, 22.62003586, 3, 3.189189189189189, 7829352
253, 114.3480704, 22.68461142, 3, 3.189189189189189, 9578999.557104234
1633, 113.98464, 22.59929414, 1, 1.063063063063063, 1428921
1903, 113.8927493, 22.76804691, 4, 3.189189189189189, 2.37482885475E7
1271, 114.0595264, 22.66399326, 9, 7.441441441441442, 11943936
676, 113.9415958, 22.53640187, 7, 7.441441441441442, 1992512
1053, 114.0280747, 22.56038858, 3, 3.189189189189189, 1.9061930125600234E7
1004, 114.2482186, 22.597762, 2, 2.126126126126126, 2561352
1295, 114.1042953, 22.54730183, 3, 3.189189189189189, 5848268.7909543365
1645, 114.1221481, 22.6011108, 3, 3.189189189189189, 2.458667748410512E7
304, 113.8687342, 22.77005729, 4, 3.189189189189189, 7466382
1061, 113.9014204, 22.51532538, 3, 3.189189189189189, 2356557
1758, 114.3624828, 22.75343579, 3, 3.189189189189189, 5002352
1368, 113.9811375, 22.55455443, 3, 3.189189189189189, 4997952
665, 113.8897551, 22.77264868, 3, 3.189189189189189, 6553890
1084, 113.7961225, 22.72937009, 4, 3.189189189189189, 5924700
176, 114.1357787, 22.61047964, 7, 7.441441441441442, 8363520
744, 114.2210604, 22.70565195, 9, 6.378378378378378, 14439168
1015, 114.3833801, 22.69048805, 3, 3.189189189189189, 1.274493825E7
1539, 113.918592, 22.51236448, 3, 3.189189189189189, 6159948
392, 114.3489082, 22.76434466, 4, 4.252252252252252, 19008540
1985, 114.0718629, 22.54517922, 3, 3.189189189189189, 5673360
779, 114.1584063, 22.56203742, 3, 3.189189189189189, 7576750
2051, 113.8296581, 22.72516813, 2, 2.126126126126126, 943350
659, 113.8471295, 22.77254999, 9, 10.63063063063063, 1.4438476799999999E7
844, 113.8962024, 22.57405691, 9, 7.441441441441442, 3845632
1492, 114.0268061, 22.53253681, 3, 3.189189189189189, 5622300
369, 114.3072888, 22.67023618, 3, 3.189189189189189, 6806760.809213319
226, 113.8893661, 22.5612539, 13, 10.63063063063063, 4325535
528, 114.0946258, 22.54159553, 3, 3.189189189189189, 8657426.4769556
942, 114.3215746, 22.70437613, 10, 6.378378378378378, 1879290
1523, 113.9834399, 22.74001975, 3, 3.189189189189189, 6327288
373, 114.0938239, 22.71533772, 4, 3.189189189189189, 671726
180, 113.8380979, 22.76558553, 3, 2.126126126126126, 3708288
1468, 113.968556, 22.69827316, 3, 3.189189189189189, 1.648480719540781E7
1662, 114.2792508, 22.66839408, 3, 3.189189189189189, 10167660
321, 113.8232585, 22.73145729, 3, 3.189189189189189, 3063435.017829458
501, 113.9175271, 22.72183077, 11, 9.567567567567568, 4742088
546, 114.0537597, 22.57958843, 4, 4.252252252252252, 3891456
1009, 114.02826, 22.65797554, 13, 11.693693693693694, 14508403
363, 114.1354949, 22.56516076, 3, 3.189189189189189, 3100240
70, 114.1331767, 22.5485137, 6, 4.252252252252252, 2895936
223, 114.3199658, 22.72416385, 3, 3.189189189189189, 1269026
1444, 113.8073582, 22.73253642, 6, 6.378378378378378, 5423056
1001, 114.2282188, 22.54732311, 1, 1.063063063063063, 1101464
825, 113.7982229, 22.69370504, 3, 2.126126126126126, 969432
855, 113.936609, 22.69505631, 3, 3.189189189189189, 5157150
1952, 113.8232585, 22.73145729, 18, 14.882882882882884, 1.4296030083204139E7
1558, 114.0083573, 22.75268468, 2, 2.126126126126126, 1136212
421, 114.1266964, 22.55171362, 5, 3.189189189189189, 3287000
593, 114.0097436, 22.54087223, 3, 2.126126126126126, 5172024
127, 114.3352269, 22.67480048, 3, 3.189189189189189, 7726602
582, 113.928491, 22.52050551, 10, 8.504504504504505, 4712274
