people-ID,livelong,livelat,wslong,wslat
10952, 114.0634647, 22.71861803, 114.0820577, 22.70809929
12138, 114.201737, 22.70969063, 114.2219301, 22.66886258
13114, 114.0763185, 22.56025754, 114.064592, 22.5648517
13239, 114.3337922, 22.6956631, 114.3236032, 22.67782678
25506, 114.1306867, 22.60230633, 114.0440301, 22.51042369
6350, 113.8641131, 22.57823681, 114.3731557, 22.73982065
8527, 114.0060361, 22.64477552, 113.8425345, 22.73227453
2632, 114.1757151, 22.6364007, 114.1332715, 22.5709549
6393, 113.8957434, 22.53233885, 114.0280747, 22.56038858
6352, 114.0417775, 22.61856082, 113.8881389, 22.7330613
546, 114.0909507, 22.57035482, 114.0838737, 22.54745393
12970, 114.1337266, 22.61583575, 113.9152116, 22.75330155
7264, 114.1056055, 22.55178546, 114.1315011, 22.70014802
10927, 114.2579837, 22.68510514, 114.2785995, 22.72759388
4053, 114.0434634, 22.54686617, 114.0598437, 22.53271154
23193, 114.1332911, 22.5477813, 114.2206988, 22.67479119
6150, 114.2229894, 22.70499103, 114.3072888, 22.67023618
10889, 113.8832089, 22.78014068, 113.8686746, 22.79460203
13746, 114.1337266, 22.61583575, 113.9237267, 22.57527484
115, 114.2116775, 22.71566268, 114.2146748, 22.70297441
7174, 114.0783056, 22.54244888, 114.1061697, 22.60760021
22588, 114.248107, 22.5904246, 114.1984229, 22.64579507
7355, 113.890645, 22.57484146, 113.8425345, 22.73227453
23426, 113.8875092, 22.5816675, 113.823794, 22.74682377
9743, 113.9151198, 22.77292533, 113.9198768, 22.73028309
11981, 113.8614431, 22.58873239, 113.8744093, 22.58226338
11566, 114.2579837, 22.68510514, 113.9495485, 22.54063909
2212, 114.1187027, 22.57398636, 114.1351285, 22.5743363
5058, 113.8307127, 22.63797102, 113.8315281, 22.63182214
8503, 114.0858786, 22.55626271, 114.04822883574803, 22.64438384220247
1270, 114.0166391, 22.71416863, 114.0211331, 22.72276476
10470, 113.8591147, 22.57989424, 113.9275533, 22.63746989
4289, 114.0340147, 22.57037079, 114.0384511, 22.57335395
6507, 114.081089, 22.54846213, 114.07856, 22.54555986
4764, 114.0506499, 22.51219737, 114.0280747, 22.56038858
24379, 114.3265685, 22.67727231, 114.3409104, 22.68026385
8864, 114.2687658, 22.72622812, 114.3215746, 22.70437613
2553, 113.8722775, 22.78509022, 114.2299012, 22.55968514
6918, 113.983226, 22.53869913, 114.0479356, 22.5234824
9132, 113.8957434, 22.53233885, 114.2939222, 22.66603796
13354, 114.0627692, 22.6325557, 114.0558319, 22.6636871
25581, 113.9256338, 22.51572657, 114.1331767, 22.5485137
13155, 113.8600693, 22.61680203, 113.8061985, 22.66737693
7718, 114.139642, 22.6239425, 114.1200256, 22.56292986
12845, 113.7721529, 22.6885906, 113.8686746, 22.79460203
11329, 114.2940064, 22.72836775, 113.8585604, 22.58204183
10403, 114.0217343, 22.65356868, 114.0492451, 22.56662297
8137, 114.0217343, 22.65356868, 114.060733, 22.65372364
13584, 114.3350117, 22.70546672, 114.3833801, 22.69048805
7260, 114.0403327, 22.59988803, 114.0443687, 22.60188752
4644, 114.2084736, 22.70857754, 114.125392, 22.59488349
5748, 114.078063, 22.53733783, 114.1016038, 22.53736933
11703, 113.9243591, 22.73817724, 113.9034759, 22.75829947
26865, 113.8929912, 22.58353792, 113.8296581, 22.72516813
23678, 114.0431475, 22.5291419, 114.0430792, 22.51612956
7661, 114.0506499, 22.51219737, 114.0586422, 22.52521368
9172, 114.0284261, 22.61262518, 114.0325259, 22.62113962
22532, 114.2466808, 22.72743507, 114.2259723, 22.72781478
4487, 113.92872716050341, 22.514018327279356, 113.9385022, 22.529855
2677, 113.8934253, 22.56998563, 113.9139943, 22.5237691
9812, 114.0544854, 22.5696858, 114.0404748, 22.55677095
2418, 114.248107, 22.5904246, 114.2449447, 22.58340402
26842, 113.8652014, 22.5862659, 114.2247268, 22.55089246
25, 114.3573882, 22.68876983, 114.3678612, 22.73955335
9161, 113.9701652, 22.5470668, 113.9709926, 22.54001775
26632, 114.2215604, 22.73269285, 113.8108448, 22.66372012
