firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
193, 114.2360842, 22.55783509, 4, 2.901324406927667, 8947008.922759833
524, 114.1942113, 22.64106038, 4, 3.868432542570223, 11844144
963, 113.968556, 22.69827316, 3, 2.901324406927667, 1.648480719540781E7
779, 114.1584063, 22.56203742, 4, 2.901324406927667, 7576750
1500, 113.8764685, 22.77355168, 3, 2.901324406927667, 3590676
1786, 113.9238649, 22.572151, 4, 3.868432542570223, 6600342
1789, 113.9152116, 22.75330155, 3, 2.901324406927667, 6885978.722448602
1746, 114.1306793, 22.70066274, 3, 2.901324406927667, 1.0939677190399535E8
463, 114.0946258, 22.54159553, 4, 2.901324406927667, 1.1543235302607467E7
1971, 113.8341494, 22.62683087, 3, 2.901324406927667, 3999480
1079, 114.2360842, 22.55783509, 3, 2.901324406927667, 8947008.922759833
1801, 114.1132982, 22.57428937, 6, 3.868432542570223, 3673172.3913537096
268, 114.3833801, 22.69048805, 3, 2.901324406927667, 7646962.949999999
496, 114.0718629, 22.54517922, 3, 1.9342162712851114, 869538
1704, 113.9444144, 22.68440914, 3, 2.901324406927667, 6998112
615, 114.2956573, 22.6953443, 3, 2.901324406927667, 8862385
702, 114.214763, 22.67006742, 9, 5.802648813855334, 3668160
1286, 113.9642825, 22.69510751, 3, 2.901324406927667, 8821728
1821, 114.3833801, 22.69048805, 3, 2.901324406927667, 7646962.949999999
536, 113.9821344, 22.54958485, 9, 5.802648813855334, 2331984
1683, 114.0994988, 22.70120735, 3, 3.868432542570223, 2794650
1965, 114.3199658, 22.72416385, 3, 2.901324406927667, 3807078
1052, 113.8232585, 22.73145729, 3, 2.901324406927667, 2421555
264, 114.0493414, 22.5279925, 4, 2.901324406927667, 15573744
471, 114.1042953, 22.54730183, 4, 4.835540678212778, 5848268.7909543365
194, 113.8108448, 22.66372012, 4, 2.901324406927667, 10161990
1985, 114.0718629, 22.54517922, 4, 2.901324406927667, 5673360
675, 114.0395011, 22.60753726, 13, 9.671081356425557, 6297650
1533, 113.8045813, 22.66852381, 9, 7.736865085140446, 3726324
1463, 114.3035778, 22.7030569, 3, 2.901324406927667, 2065865.1079275003
1113, 114.2146748, 22.70297441, 9, 5.802648813855334, 7571381.583245078
278, 113.9771094, 22.55295138, 9, 10.638189492068113, 1.812015414E7
475, 113.8962024, 22.57405691, 6, 6.769756949497889, 3845632
9, 114.2829847, 22.67126173, 4, 4.835540678212778, 2447712
400, 114.0718589, 22.62126535, 6, 3.868432542570223, 4718979
823, 114.1717413, 22.56394335, 3, 2.901324406927667, 7000872
1517, 113.8553703, 22.78458004, 3, 2.901324406927667, 2873640
474, 113.9032064, 22.55898151, 3, 2.901324406927667, 5668075
209, 114.132336, 22.54514773, 4, 4.835540678212778, 3328344
648, 114.0946258, 22.54159553, 3, 2.901324406927667, 8657426.4769556
706, 114.0280747, 22.56038858, 3, 2.901324406927667, 1.9061930125600234E7
1642, 113.9834399, 22.74001975, 3, 2.901324406927667, 4921224
488, 114.064592, 22.5648517, 3, 2.901324406927667, 5698680
1028, 114.2431327, 22.56455993, 3, 2.901324406927667, 5033665
730, 114.0998616, 22.55693538, 3, 2.901324406927667, 2049540
1706, 113.8594129, 22.76057567, 3, 2.901324406927667, 12650720
1237, 113.896119, 22.72186615, 6, 6.769756949497889, 4.6508548086E7
151, 114.0431905, 22.55531317, 3, 2.901324406927667, 8215116
1481, 114.0923787, 22.56380177, 3, 2.901324406927667, 7693044
123, 114.0946258, 22.54159553, 4, 2.901324406927667, 8657426.4769556
753, 113.972242, 22.67589127, 15, 17.407946441566, 5.456782364450817E8
1570, 114.0946258, 22.54159553, 3, 2.901324406927667, 8657426.4769556
2057, 114.1272273, 22.69348192, 2, 1.9342162712851114, 1532494.812585
2060, 114.1242908, 22.59420024, 2, 1.9342162712851114, 2164168
2063, 114.1468689, 22.61050373, 2, 1.9342162712851114, 575827.4670521527
723, 114.3122933, 22.69246974, 3, 2.901324406927667, 10046016
13, 114.3559461, 22.72906025, 3, 2.901324406927667, 11501840
668, 113.8380979, 22.76558553, 4, 2.901324406927667, 11124864
1536, 114.2650762, 22.59260631, 3, 2.901324406927667, 5338257.21
849, 114.1092381, 22.55806886, 6, 5.802648813855334, 5263580
888, 113.9945339, 22.53990409, 3, 2.901324406927667, 7651239.75
1912, 113.8546887, 22.58178721, 3, 2.901324406927667, 3702100.7544598156
421, 114.1266964, 22.55171362, 4, 4.835540678212778, 3287000
684, 113.964386, 22.54286861, 3, 2.901324406927667, 5929718.050117938
