schools-ID,x-coordinate,y-coordinate,Num-student
1846, 113.92655434372095, 22.55312797945184, 7
293, 114.1717196, 22.60560437, 5
605, 113.9272376, 22.79252871, 1
218, 114.1230041, 22.55053121, 3
24, 114.1483764, 22.61584454, 13
408, 114.302168, 22.60419543, 4
385, 113.8092739, 22.70581523, 8
472, 113.8920223, 22.50545047, 0
1867, 114.14383019099424, 22.685666273816373, 3
1221, 114.025327, 22.64410502, 2
594, 113.9009591, 22.73699951, 1
264, 113.8997737, 22.51209673, 10
323, 113.796559, 22.7226197, 4
732, 114.3320219, 22.68758546, 1
730, 114.3778884, 22.75466395, 0
1060, 114.2033003, 22.65251987, 1
294, 114.2185909, 22.61962204, 12
144, 113.9337818, 22.7618021, 12
1099, 114.3287404, 22.78805421, 1
307, 114.287889, 22.72307688, 8
1154, 114.2335698, 22.66402308, 0
68, 114.2776236, 22.78295584, 7
148, 113.8967735, 22.73733075, 8
1869, 114.00911923554773, 22.748676265629324, 0
459, 113.9145938, 22.54666141, 1
12, 113.8425345, 22.73227453, 77
417, 113.8532644, 22.56561573, 0
690, 114.2309814, 22.56154957, 1
467, 113.9611238, 22.54367309, 0
347, 113.8141384, 22.74214501, 2
1142, 114.2752894, 22.69909332, 1
1859, 114.21770404805405, 22.698702813222912, 1
259, 114.0433294, 22.61494276, 3
1068, 114.2406833, 22.71509973, 1
460, 113.9569767, 22.59588934, 0
399, 113.8167886, 22.677837, 2
1847, 113.93307261776029, 22.514018341201005, 2
470, 113.9171848, 22.491473, 1
599, 113.9272366, 22.73056127, 1
250, 114.0285019, 22.63620018, 25
1885, 114.30026890841216, 22.629174541979374, 0
348, 113.8555126, 22.80152645, 0
1231, 114.0082394, 22.66282965, 1
479, 113.9687935, 22.55608872, 0
1153, 114.4903355, 22.53765634, 2
61, 114.3243912, 22.73825933, 5
532, 113.9684818, 22.56243403, 0
11, 114.1189957, 22.59474725, 23
723, 114.3595821, 22.73056456, 1
25, 113.9352588, 22.75252555, 6
1884, 114.17424885974039, 22.596583157807597, 0
304, 113.7859447, 22.69754333, 0
185, 114.0335776, 22.68570394, 10
333, 113.8827467, 22.56853415, 2
28, 113.9127016, 22.50412355, 4
1298, 114.0339804, 22.67824772, 2
600, 113.8963822, 22.75308501, 0
337, 114.3268399, 22.66954748, 11
18, 114.0972231, 22.54143887, 0
409, 114.2568866, 22.59128337, 4
343, 113.8733376, 22.80061974, 0
106, 114.1448987, 22.612774, 2
131, 113.9005412, 22.54198334, 4
1076, 114.2070235, 22.66288376, 1
307, 113.8498845, 22.59552003, 0
1136, 114.217195, 22.62788429, 1
862, 114.0786001, 22.54360796, 1
361, 113.9120505, 22.57066024, 3
62, 114.3638261, 22.74511559, 3
409, 113.9173765, 22.65251859, 0
108, 113.8909235, 22.56362014, 9
1056, 114.1442778, 22.69470532, 0
1230, 114.0356296, 22.75006837, 0
14, 114.1264577, 22.60106998, 13
83, 114.041103, 22.59806904, 13
7, 114.0744233, 22.55972382, 4
1248, 114.0730802, 22.68865243, 1
156, 113.836729, 22.77085636, 10
113, 113.9916585, 22.54994516, 3
400, 114.0272975, 22.74138882, 9
310, 113.8368033, 22.78445901, 5
19, 114.1202791, 22.59279885, 1
1877, 114.01998294490092, 22.579201079069282, 3
1390, 114.0113338, 22.54094855, 0
1055, 114.1929177, 22.64834688, 2
596, 113.9059378, 22.77332882, 1
1854, 114.21987675895357, 22.713912128612794, 2
583, 113.9417593, 22.5251561, 1
17, 114.0696339, 22.57201316, 1
280, 113.8873012, 22.49171205, 4
1, 114.0985039, 22.56191059, 10
1082, 114.2315562, 22.74848907, 2
464, 113.9831187, 22.53829967, 1
101, 114.0652063, 22.55518777, 9
382, 113.8358046, 22.80133241, 1
1256, 114.0010561, 22.68255276, 1
49, 114.1150198, 22.56263599, 10
11, 113.9495485, 22.54063909, 132
47, 113.9159937, 22.49626505, 3
362, 113.8339901, 22.73463248, 2
53, 114.1039334, 22.59992917, 18
1408, 114.018013, 22.55598525, 0
248, 114.0795182, 22.63437414, 14
1871, 114.17642160957547, 22.63786556950678, 2
454, 113.9147756, 22.50230302, 0
1237, 114.0178647, 22.65794175, 3
1853, 113.82226184470376, 22.624829007349152, 0
25, 113.8736547, 22.60193417, 10
1861, 114.35024244208964, 22.73346695717345, 1
1395, 114.0523589, 22.5244031, 2
1845, 114.00260089697248, 22.570510045039313, 0
1241, 114.0207572, 22.73373868, 1
1863, 114.30895995069596, 22.7095666134757, 0
150, 113.8681099, 22.80424704, 7
315, 114.3537678, 22.72485176, 8
458, 113.9870844, 22.5916808, 0
1087, 114.2814846, 22.75480523, 1
286, 114.0469364, 22.64037696, 1
1232, 114.0448079, 22.71083119, 1
12, 114.026119, 22.60281383, 6
74, 114.139176, 22.60691245, 4
767, 114.3853917, 22.72356525, 0
23, 114.0360777, 22.61330429, 10
248, 114.0510479, 22.59491539, 1
205, 114.1329896, 22.5590596, 0
13, 114.1273117, 22.55232136, 25
1882, 114.09168401142146, 22.711739375760985, 0
1850, 114.01563745305444, 22.75084903308831, 4
332, 113.8296598, 22.73071056, 0
27, 114.0384238, 22.54794425, 9
1851, 114.07212924813777, 22.555300740870845, 1
1413, 114.0461958, 22.52781667, 1
272, 113.947196, 22.54542991, 10
1873, 113.9873916622265, 22.663938677040456, 2
12, 113.9113222, 22.57536023, 12
164, 114.1279367, 22.57240637, 2
138, 114.0598437, 22.53271154, 4
1088, 114.3235701, 22.77429867, 0
162, 113.8344012, 22.73466123, 12
37, 113.8575476, 22.66873178, 4
154, 113.9332828, 22.69119982, 6
406, 113.872711, 22.55648831, 2
1841, 114.24594988565256, 22.583546591919518, 4
1226, 113.9935558, 22.70272955, 2
1404, 114.0355788, 22.54998474, 1
317, 113.8396419, 22.71903215, 1
211, 113.916807, 22.72566634, 6
297, 114.2206988, 22.67479119, 12
18, 113.9138321, 22.57417161, 3
1878, 113.92655434261333, 22.494463521532538, 3
313, 113.8490645, 22.6110715, 0
351, 113.8802701, 22.60327339, 0
147, 113.9530921, 22.79505656, 9
256, 114.0511503, 22.61794283, 2
320, 114.2729687, 22.69881083, 14
305, 113.8524194, 22.61273559, 1
455, 113.9094014, 22.53718549, 0
1836, 114.00911919456448, 22.550955219645456, 4
1883, 114.30895998518845, 22.666111436965373, 3
4, 114.2780744, 22.78227554, 8
597, 113.8924688, 22.78785732, 2
468, 113.9236482, 22.50573715, 0
352, 113.858524, 22.64971015, 1
1409, 114.0204033, 22.52962126, 4
3, 114.08199, 22.55050255, 4
1393, 114.0430792, 22.51612956, 0
31, 114.1193772, 22.58155327, 18
304, 114.3207393, 22.79106247, 5
255, 113.9224168, 22.52175518, 14
707, 114.1725753, 22.56719161, 1
904, 114.2731798, 22.63296093, 0
386, 113.8572696, 22.58052916, 2
1843, 114.39587043940791, 22.711739377811103, 6
50, 114.1292601, 22.56291605, 11
139, 113.9414054, 22.56276132, 8
1874, 114.00260097221938, 22.70956661449834, 1
46, 113.9343726, 22.69337751, 9
330, 113.8529902, 22.76248764, 0
538, 113.9554493, 22.74093736, 6
1880, 114.0590926141986, 22.642211087019454, 0
301, 114.1004857, 22.65773277, 5
106, 113.9020774, 22.56721905, 22
1070, 114.2083112, 22.71016104, 1
19, 113.8700743, 22.55588368, 1
31, 114.252795, 22.72976183, 9
1266, 114.0526958, 22.74995984, 1
103, 114.1084048, 22.62128041, 2
346, 113.8852936, 22.55847545, 3
358, 113.9268269, 22.69852648, 1
1219, 114.0576514, 22.72040919, 0
213, 114.0532175, 22.53031133, 10
315, 113.9626144, 22.70554424, 0
465, 113.9416344, 22.59001494, 1
169, 114.1234228, 22.56673332, 0
1220, 114.0868068, 22.698374, 1
35, 114.1210871, 22.60144657, 3
323, 114.2641171, 22.73798272, 15
346, 113.9928238, 22.6697487, 8
1062, 114.3039771, 22.72151924, 3
2, 113.992699, 22.70315604, 11
1886, 114.41759794484622, 22.668284201217137, 0
1839, 114.23291332577307, 22.681320749694997, 4
1243, 114.0086654, 22.63134455, 1
1058, 114.0701533, 22.65422694, 3
1067, 114.0518838, 22.6424242, 2
313, 114.3758742, 22.74040997, 8
1053, 114.2259723, 22.72781478, 1
1051, 114.1282237, 22.70411452, 3
1139, 114.1385731, 22.62852203, 1
318, 113.8319602, 22.63381959, 0
434, 113.9028057, 22.58392709, 0
739, 114.3066174, 22.67652697, 2
58, 114.1115702, 22.6101334, 1
184, 113.9198768, 22.73028309, 11
620, 113.9913012, 22.73923728, 0
336, 113.8876299, 22.58130424, 5
356, 113.9355096, 22.68916665, 1
145, 113.8946961, 22.76631774, 16
755, 114.4066975, 22.7635882, 2
112, 113.8922981, 22.57494035, 22
474, 113.905295, 22.48226047, 1
343, 113.9369658, 22.6279399, 3
305, 114.2986969, 22.77008171, 9
32, 114.1342023, 22.69909419, 5
37, 114.3477684, 22.70603955, 78
1114, 114.2208758, 22.67998515, 1
8, 114.0083499, 22.63529777, 11
321, 113.9309176, 22.68252059, 1
462, 114.218262, 22.70350194, 18
311, 113.813731, 22.73120746, 3
419, 113.8837617, 22.66892465, 0
355, 114.0378486, 22.67362562, 13
2, 114.095055, 22.55916526, 0
258, 114.0397592, 22.59965181, 2
241, 114.1584883, 22.56576923, 0
20, 114.1070444, 22.61512856, 13
1115, 114.2315978, 22.69252256, 2
467, 114.2312904, 22.70918313, 24
149, 113.8560451, 22.76570723, 11
190, 113.9820502, 22.54016474, 10
1881, 114.08516573163644, 22.70304834024587, 0
440, 114.0496855, 22.71974813, 14
369, 113.7823706, 22.73801849, 1
84, 114.0495405, 22.59965055, 12
608, 113.9097773, 22.76039511, 2
633, 113.9105829, 22.7217221, 1
1860, 114.37197004859355, 22.69001177767072, 1
1834, 114.07212917348103, 22.590064867611794, 3
366, 114.1164567, 22.69397272, 14
324, 113.8967776, 22.56169212, 3
203, 114.0486133, 22.54572489, 11
1864, 114.36979716939598, 22.76605834652167, 9
1876, 114.4089069029858, 22.698702820126364, 0
412, 114.1936691, 22.65522272, 11
6, 113.823794, 22.74682377, 7
1229, 113.989099, 22.67451893, 2
13, 114.092794, 22.54880699, 0
87, 113.8165886, 22.74648029, 6
1049, 114.2342545, 22.64869853, 2
290, 114.1319739, 22.64315745, 7
337, 113.8208289, 22.77852113, 3
1, 114.0947075, 22.56348885, 0
437, 113.8557334, 22.65535098, 7
463, 113.9187808, 22.53120662, 2
24, 114.1256927, 22.59314609, 0
1302, 114.017572, 22.74026468, 1
217, 114.0216586, 22.54208411, 9
684, 114.2165794, 22.55675978, 1
1856, 114.06995649057713, 22.73563972149086, 2
28, 114.1046557, 22.59398831, 3
122, 113.8635089, 22.56682005, 14
36, 114.1075515, 22.54658266, 22
1568, 113.8245207, 22.70319838, 1
1837, 113.94828197703032, 22.570510041682773, 1
541, 113.9478851, 22.63628099, 1
32, 114.2417657, 22.70691407, 7
1388, 114.068129, 22.51962536, 0
339, 113.7960411, 22.67036897, 0
882, 114.2707577, 22.58889099, 0
1050, 114.1727569, 22.64463571, 1
1073, 114.1137485, 22.68970835, 2
169, 113.8392275, 22.70940501, 6
229, 114.1463901, 22.55617025, 1
513, 113.9047839, 22.51303554, 2
55, 114.1054558, 22.60753083, 3
589, 114.1070929, 22.65326972, 1
36, 114.1909935, 22.64154101, 8
1855, 114.24812261575426, 22.587892112276577, 5
1227, 114.0644939, 22.72040947, 1
883, 114.2461318, 22.59296281, 0
16, 114.1264577, 22.60106998, 20
1848, 113.92438158580326, 22.583546595599756, 6
745, 114.3606856, 22.69001184, 1
1178, 114.3975034, 22.63867113, 2
726, 114.3409104, 22.68026385, 0
1879, 114.111238851543, 22.648729364260568, 0
93, 114.1647452, 22.56602095, 7
525, 113.9438209, 22.54911167, 1
480, 113.9737498, 22.62394132, 0
28, 114.2109974, 22.71058323, 80
388, 113.8003849, 22.74307814, 8
1090, 114.278921, 22.73135842, 1
132, 113.9169562, 22.54818132, 6
1852, 113.88092644064345, 22.51836386249412, 1
317, 114.33021, 22.69639271, 13
92, 114.0135224, 22.72799984, 3
725, 114.381016, 22.69893743, 1
1858, 114.1959764455043, 22.629174532784454, 2
1833, 114.0564157, 22.67397487, 1
728, 114.3711967, 22.74165107, 1
482, 114.0067812, 22.59893324, 0
357, 113.8091422, 22.75874576, 0
69, 114.1428982, 22.62017946, 10
1835, 114.05040159366837, 22.511845590473552, 4
1391, 114.0315036, 22.56383053, 3
1865, 113.88092647443005, 22.527054868148156, 5
1844, 114.37631557071731, 22.685666268168994, 0
878, 114.0669813, 22.53888678, 0
607, 113.9348751, 22.75531034, 1
1234, 114.0304339, 22.71348567, 1
1849, 114.23074065977885, 22.720430409622985, 2
146, 113.8819519, 22.78431814, 15
36, 113.981697, 22.54120672, 6
1222, 114.0449546, 22.6961237, 2
1866, 114.13948467572799, 22.705221100835388, 4
693, 114.1732818, 22.60539133, 0
33, 114.1469336, 22.6788307, 8
306, 113.8710768, 22.57760267, 0
1840, 114.23943160554599, 22.613965214521983, 7
483, 113.9635241, 22.57057261, 0
1065, 114.3112143, 22.7781768, 0
821, 114.0467057, 22.70150378, 2
1862, 114.3046144341279, 22.774749381052047, 0
11, 113.9842434, 22.59357109, 4
224, 114.0369986, 22.5279957, 6
440, 113.9494523, 22.68752267, 3
1872, 114.20684022327515, 22.642211087401012, 2
124, 114.1171433, 22.58022318, 3
3, 114.0874806, 22.55269337, 13
1868, 113.98304614322731, 22.661765927769583, 4
1842, 114.04822883574803, 22.64438384220247, 0
8, 114.0889951, 22.55683072, 2
462, 113.9239807, 22.51041167, 0
27, 113.8875691, 22.76634594, 4
1223, 113.9986985, 22.67621438, 1
1103, 114.0685704, 22.63241179, 1
