residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
155, 114.2424108, 22.59416598, 1655525, 26188, 1
1058, 113.924989, 22.50836662, 2184208, 58697, 2
864, 113.8800022, 22.49385842, 2254775, 89764.43987589664, 3
888, 114.131942, 22.56673905, 2319621, 54518.32391610628, 0
183, 114.011517, 22.53943617, 3263974, 110610, 2
1186, 114.2044037, 22.65303021, 1533401, 32173, 0
1327, 114.2324594, 22.72394251, 1143571, 21592, 0
432, 113.8268095, 22.64682811, 2178058, 58785.09129954277, 21
264, 113.8288835, 22.685504, 2049826, 44455.42239404164, 20
1253, 113.8826033, 22.55538645, 3506056, 133919.14245506303, 60
377, 113.8866185, 22.54924298, 2844878, 133919.14245506303, 6
447, 113.8865032, 22.57412312, 2222136, 66845.93870202126, 63
784, 114.2679761, 22.715247, 1456735, 24657, 0
6, 114.3355732, 22.71003255, 1903839, 30467, 0
1412, 114.2223735, 22.68043649, 1733719, 24076, 0
372, 113.8600693, 22.61680203, 2241406, 72867, 0
746, 114.0153588, 22.62734916, 2287997, 108346, 3
43, 113.9064691, 22.57201045, 2567108, 83877, 0
540, 114.1222988, 22.61457652, 1929796, 26393, 0
1087, 114.0629266, 22.64340795, 2134658, 37595, 2
731, 113.8307127, 22.63797102, 1940310, 43638, 0
317, 114.2325281, 22.72728864, 1725237, 33928, 0
1002, 114.040472, 22.62411838, 2284821, 51981, 1
434, 114.1612636, 22.61026465, 1597860, 27796, 0
215, 113.8951576, 22.48580812, 2108291, 103263, 5
765, 113.901418, 22.60045571, 2195158, 71691.12772809123, 2
1329, 113.934132, 22.50391084, 3532826, 159941.03621939037, 2
198, 114.2599286, 22.7221789, 1391781, 23775, 0
0, 113.95262749439391, 22.553127981428297, 3044161, 116294.50565633984, 17
287, 114.0085987, 22.56776331, 2944478, 82804.39246395428, 0
0, 113.92438164335907, 22.527054880053317, 2160561, 115854, 17
534, 113.9218421, 22.59078246, 963927, 22812, 0
1231, 113.9212985, 22.52115787, 2366260, 99030, 3
311, 113.9402698, 22.58446982, 2721671, 107268.34018852856, 7
1279, 113.8617546, 22.57976222, 2231450, 72088, 1
817, 114.2158332, 22.72542769, 1584405, 29193, 0
64, 114.0320802, 22.60541612, 2868805, 72896.91635189878, 5
353, 113.9917714, 22.53415387, 2239939, 62398.74323212328, 4
18, 114.1368988, 22.67066874, 2062742, 25485, 0
958, 113.96299, 22.55379971, 2902747, 71085.72846, 3
50, 114.0163238, 22.53727597, 2198377, 109885.48516313347, 15
145, 114.1022167, 22.54203109, 2520044, 66121, 0
231, 114.3697374, 22.74835856, 660961, 13640, 0
67, 114.296628, 22.77622703, 955857, 17754, 0
68, 114.0890018, 22.5398657, 2831134, 50878.05490223099, 3
726, 114.0076839, 22.63159925, 2235898, 80477.74390367586, 12
810, 114.1248286, 22.57658164, 2049746, 58725.63131667781, 0
308, 113.8736143, 22.57363596, 2197383, 76810.95131358298, 11
1150, 113.9379276, 22.50942693, 5357995, 281782, 2
1014, 113.9108471, 22.54381618, 2378771, 61021, 0
903, 113.8678879, 22.5713629, 2179229, 95672.47306835072, 54
53, 114.1258456, 22.70170658, 1083890, 19791, 0
129, 114.0377195, 22.55782833, 2647195, 78380, 0
1086, 114.1521987, 22.61530084, 2256802, 40505, 3
1197, 113.9263495, 22.49164243, 2083514, 63409, 0
343, 114.0436235, 22.56713422, 1896572, 40045, 0
905, 114.1142512, 22.55208526, 2590203, 67023, 0
1117, 114.2325571, 22.70186294, 1529513, 23492, 0
484, 113.8236042, 22.71840044, 2328600, 56620, 6
1030, 114.1704436, 22.64268317, 468780, 7617, 0
1323, 114.2225225, 22.7024292, 1566244, 29795, 1
1476, 113.9296542, 22.51692758, 2727551, 127225.82426840707, 7
118, 114.1538611, 22.60964201, 1575284, 31028, 1
409, 114.1425122, 22.54792195, 1950149, 57050, 0
178, 114.0960048, 22.62649671, 2643077, 61763, 7
123, 114.2756256, 22.75022902, 782467, 13155, 0
473, 114.1083642, 22.57636406, 2179847, 56207, 1
595, 114.1018588, 22.62024685, 1224476, 22158, 0
882, 113.9400233, 22.52891281, 3054830, 176665, 13
0, 114.00477370247327, 22.55312798101, 2751134, 111100.79045048752, 10
496, 114.0660873, 22.62543468, 2243636, 54451, 3
286, 114.2138858, 22.7535822, 1513518, 18105.165348, 0
199, 114.0899097, 22.55059307, 2543411, 38632.26386, 1
281, 114.0382302, 22.57611433, 2176164, 60763, 0
0, 113.94828195479865, 22.548782466247594, 2755947, 134082.76028606537, 20
1464, 114.2001423, 22.65019022, 1394873, 21721, 1
309, 114.0463786, 22.62462621, 2308265, 68075.24210856824, 20
725, 114.0313345, 22.66527926, 2346483, 47527, 1
1355, 113.8990061, 22.56329767, 1500542, 38635, 0
601, 113.9217899, 22.54817124, 3058516, 98770.58470383179, 0
210, 113.8170674, 22.69635996, 1927729, 34292, 0
0, 113.94610920537113, 22.548782463575513, 3655882, 110648.12350292414, 15
693, 113.9126887, 22.51986992, 2522997, 66779.53114359951, 5
797, 114.1775677, 22.64341776, 1316295, 20696, 0
1182, 114.2313093, 22.73291925, 1183252, 22787, 0
825, 114.0411463, 22.51529969, 1971905, 65285, 0
305, 114.1190419, 22.62508865, 2073689, 29441, 0
671, 114.2215604, 22.73269285, 1731208, 26049, 0
177, 113.9653754, 22.56215852, 2273805, 62526, 1
1181, 113.8909863, 22.77584712, 2148121, 50906.36746293395, 5
665, 114.0352336, 22.63158047, 2294909, 42775, 1
15, 113.922359, 22.52020784, 2148487, 98762, 1
618, 114.2356595, 22.56404745, 1756393, 31604, 1
195, 113.9062106, 22.53650882, 2421026, 66081.43381079711, 14
626, 113.9141317, 22.50931602, 2248184, 88254, 2
85, 113.9272117, 22.5017876, 2284420, 91837, 0
971, 113.8712327, 22.59794122, 2184226, 82620.16626937145, 3
179, 114.0238058, 22.68184804, 2176065, 64786, 0
318, 114.1248603, 22.59405869, 2453685, 102432, 9
1021, 114.2751117, 22.74890723, 1177173, 19592, 0
121, 114.0830801, 22.63255927, 2210800, 52438.68100148867, 2
734, 113.8998904, 22.580372, 2169749, 69964.68332012279, 12
284, 114.3685244, 22.73435966, 938537, 18447, 0
859, 114.0193574, 22.63674828, 2191504, 75013.95266554553, 17
0, 113.94610923422105, 22.527054880053317, 2988347, 143528.66920118156, 17
1194, 114.1311411, 22.5519085, 2557468, 53756, 0
1070, 113.863216, 22.57078846, 2148186, 99110.79391012352, 37
25, 113.8875092, 22.5816675, 2126835, 78871.87433566053, 8
333, 114.2296525, 22.5578889, 2181436, 36133, 0
404, 113.9197434, 22.52402639, 2166758, 150240, 11
1090, 114.1214859, 22.54613392, 2249206, 47864, 0
1415, 114.2940064, 22.72836775, 1330474, 24868, 0
770, 113.8539062, 22.57822354, 2144491, 100303, 11
114, 114.0532281, 22.63081847, 2041638, 41522, 0
193, 114.2990902, 22.72391568, 1492915, 22757, 3
1141, 113.922354, 22.52687612, 2459373, 126580.99750687137, 27
73, 114.0821844, 22.57725959, 2787846, 67976, 0
1300, 113.9168393, 22.50547271, 2567866, 93932, 1
1219, 114.0499952, 22.60340822, 1967444, 51579, 5
782, 114.0560703, 22.51722626, 2205439, 69202, 2
1055, 113.8985783, 22.55517608, 2159383, 98689.99769336234, 2
714, 113.9383125, 22.57746684, 2176247, 80752.3937155197, 32
659, 114.1204817, 22.56692611, 3254598, 74265.54114791448, 1
1282, 113.9736577, 22.54056569, 2262758, 55379, 0
185, 114.1081865, 22.54774988, 2282892, 49344, 0
368, 114.0451706, 22.51174816, 2376404, 96383.66090688072, 8
539, 114.020688, 22.5546845, 2853849, 231463, 0
963, 114.2375488, 22.729688, 1808830, 24665, 7
559, 114.2839641, 22.75655484, 839190, 16158, 0
1371, 113.9519058, 22.54701975, 3721771, 143766.07332316338, 3
868, 113.8929912, 22.58353792, 2161221, 71844.34321095199, 12
110, 114.3900155, 22.74441126, 793649, 12991, 0
670, 114.238708, 22.70154264, 2422363, 28645, 0
0, 113.92655437697935, 22.511845568389468, 2270562, 95230.28953696969, 7
0, 113.9287271618272, 22.51401832719487, 2285224, 123642.19125534043, 11
340, 114.0327179, 22.56052807, 2229143, 73253, 1
794, 114.1072085, 22.62652505, 1758199, 29953, 4
170, 114.2307736, 22.72322821, 2240746, 68949, 1
1456, 114.0134819, 22.6269261, 2215834, 117242, 5
586, 114.0313355, 22.55962384, 2782141, 105331.03928898889, 4
575, 114.1359977, 22.6101582, 1668008, 34290, 8
1223, 114.245619, 22.59661344, 1934083, 31296, 0
1392, 113.9348713, 22.50589411, 2503564, 125133, 3
1390, 114.3675525, 22.73932439, 391065, 7746, 0
262, 114.1103352, 22.68648221, 1414599, 25347, 0
1274, 114.2047847, 22.70875643, 2349294, 34890, 0
923, 113.9323153, 22.54424896, 3064453, 84579, 0
552, 114.0265208, 22.53258663, 2168374, 77442, 0
594, 113.9382846, 22.54399802, 3125460, 118293.7636243229, 12
0, 113.95045471389291, 22.548782466247594, 3272332, 130129.00723154368, 8
935, 114.0261419, 22.60543043, 2036057, 63389, 1
218, 114.1281667, 22.69269459, 1030853, 16678, 0
