firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
27, 113.866769, 22.77734068, 3, 2.834850640113798, 5931912
1479, 113.9234122, 22.52390294, 3, 2.834850640113798, 2878380
916, 113.7961225, 22.72937009, 3, 2.834850640113798, 5865453
1834, 113.907684, 22.55657403, 8, 5.669701280227596, 7865772
1308, 113.9585573, 22.70959755, 3, 2.834850640113798, 5497149.24
352, 113.9214564, 22.55194356, 4, 2.834850640113798, 7301232
613, 113.8102429, 22.73070417, 7, 7.5596017069701285, 10751975
1210, 114.2477237, 22.74951701, 9, 7.5596017069701285, 2483775
1990, 114.1161173, 22.59930781, 3, 2.834850640113798, 4469880
958, 114.1793278, 22.63882801, 2, 1.8899004267425321, 948300
458, 114.0527624, 22.63151064, 8, 8.504551920341394, 13123800
510, 114.2567754, 22.59454, 3, 2.834850640113798, 3032960
1812, 114.0527624, 22.63151064, 3, 2.834850640113798, 2.4951838606200002E7
4, 113.9514808, 22.57933839, 2, 1.8899004267425321, 667980
1166, 114.1032037, 22.61256999, 5, 5.669701280227596, 11105550
314, 114.0490229, 22.63510087, 4, 4.72475106685633, 12145140
61, 114.0582017, 22.70814865, 3, 3.7798008534850642, 7490637
70, 114.1354918, 22.55227385, 4, 2.834850640113798, 2895936
2014, 113.7961225, 22.72937009, 3, 2.834850640113798, 5865453
16, 113.9032064, 22.55898151, 3, 3.7798008534850642, 5668075
1893, 114.1132982, 22.57428937, 4, 3.7798008534850642, 3656940
1751, 114.0527624, 22.63151064, 3, 1.8899004267425321, 559776
1128, 114.2939222, 22.66603796, 3, 2.834850640113798, 8200038
1752, 113.9585573, 22.70959755, 3, 3.7798008534850642, 7329532.32
884, 114.1272273, 22.69348192, 6, 6.614651493598862, 7.916950045619999E7
1661, 113.9784448, 22.5901607, 3, 2.834850640113798, 5804890
1259, 114.0579046, 22.57556408, 6, 3.7798008534850642, 7334925.84
204, 114.0260963, 22.61527902, 10, 7.5596017069701285, 2972000
856, 114.0573383, 22.6047373, 8, 5.669701280227596, 2033280
414, 113.9187309, 22.57620516, 5, 3.7798008534850642, 8406090
1813, 113.9792634, 22.53515726, 3, 2.834850640113798, 4222720
454, 114.0503059, 22.5483735, 2, 1.8899004267425321, 3341214
1999, 114.0492451, 22.56662297, 7, 5.669701280227596, 1892559
1098, 114.0518927, 22.5357264, 3, 2.834850640113798, 3275800
895, 114.0268688, 22.59775455, 1, 0.9449502133712661, 1030816
721, 113.9439491, 22.77869306, 6, 4.72475106685633, 3275640
224, 113.7961225, 22.72937009, 3, 3.7798008534850642, 7820604
21, 114.1216101, 22.70860227, 1, 0.9449502133712661, 1200992
790, 113.9585573, 22.70959755, 3, 2.834850640113798, 5497149.24
1727, 114.1416898, 22.68866649, 1, 0.9449502133712661, 815675
1196, 114.1674935, 22.56881687, 3, 2.834850640113798, 7578090
162, 113.9275589, 22.50061021, 6, 4.72475106685633, 1650186
445, 114.3122933, 22.69246974, 5, 5.669701280227596, 11162240
1108, 113.8895757, 22.80671205, 1, 0.9449502133712661, 679910
1739, 114.0527624, 22.63151064, 4, 2.834850640113798, 5684927.49
811, 114.0087173, 22.73838093, 1, 0.9449502133712661, 1055310
