people-ID,livelong,livelat,wslong,wslat
6929, 114.1220831, 22.59238119, 114.1217289, 22.54666103
2700, 113.7721529, 22.6885906, 113.8059591, 22.72585783
5882, 114.0227262, 22.66113226, 114.0141959, 22.67946648
12865, 114.0635426, 22.61827732, 114.0638116, 22.62506178
2607, 114.0090737, 22.63994719, 114.018724, 22.62287191
17194, 113.8886117, 22.77684509, 113.8746196, 22.77130881
16585, 114.2122946, 22.72380437, 114.3109108, 22.66914078
11, 114.0424233, 22.68753666, 114.055946, 22.67616114
14005, 113.9159869, 22.48814182, 113.9184183, 22.52486925
15134, 113.8154939, 22.76043031, 113.809754, 22.75466714
14699, 114.2348507, 22.72008652, 114.510525, 22.64360625
8632, 114.2429635, 22.74200624, 114.2785995, 22.72759388
2921, 113.8624756, 22.5662248, 113.854122, 22.60421247
2999, 114.058055, 22.69512613, 114.0490229, 22.63510087
2998, 114.058055, 22.69512613, 114.0398046, 22.69945295
16148, 113.9164802, 22.51914492, 114.1075515, 22.54658266
5438, 114.0245556, 22.59994136, 114.0395011, 22.60753726
14279, 113.8236042, 22.71840044, 113.8276875, 22.72981511
1759, 113.993116, 22.59373235, 114.1057548, 22.59821631
7142, 114.1178066, 22.60123914, 113.9913012, 22.73923728
4816, 114.0363037, 22.71443239, 114.0211554, 22.71756814
15322, 114.1171629, 22.58668779, 114.1121549, 22.56746314
14715, 113.8936399, 22.76805679, 113.8649922, 22.79720284
14602, 114.0283921, 22.6298931, 114.064592, 22.5648517
3835, 114.2376679, 22.71326216, 114.2240162, 22.70156244
4804, 113.8722775, 22.78509022, 113.8897551, 22.77264868
2888, 113.817215, 22.77157357, 113.855477, 22.7618996
3756, 114.1727868, 22.6443289, 114.1909831, 22.64747785
1085, 113.8591147, 22.57989424, 113.9123727, 22.58260273
8892, 114.1071909, 22.56922166, 114.1011595, 22.56392718
6302, 114.0261157, 22.63404516, 114.0237007, 22.62544777
3964, 114.2288876, 22.70270774, 114.2146748, 22.70297441
13684, 113.9032597, 22.77940868, 113.9390427, 22.76296163
14351, 114.0322396, 22.55069507, 114.0432464, 22.55486008
1210, 114.0565727, 22.69299886, 114.0468077, 22.69917017
16202, 114.065254, 22.55279516, 113.9015615, 22.71955435
6504, 114.020688, 22.5546845, 114.0548333, 22.53589927
2691, 113.8556547, 22.57802118, 114.4705804, 22.59544343
7755, 114.2253701, 22.70516551, 114.2175072, 22.66480641
14244, 113.9091263, 22.53367041, 113.9180058, 22.51905186
3175, 114.1125384, 22.59592024, 114.1161173, 22.59930781
5910, 114.0829143, 22.55096604, 114.1639711, 22.5669094
11064, 114.0174534, 22.53769325, 113.9495485, 22.54063909
2923, 113.808932, 22.73500402, 113.8222272, 22.72445532
13271, 114.0240966, 22.63303427, 114.0229443, 22.64142295
12132, 113.9337326, 22.76402951, 113.8733376, 22.80061974
3753, 114.1782169, 22.65210551, 114.1880733, 22.63987338
12426, 114.0829143, 22.55096604, 114.0838737, 22.54745393
16312, 114.3900155, 22.74441126, 114.3712383, 22.74697943
14951, 114.3411705, 22.68281434, 114.33021, 22.69639271
1142, 113.8829829, 22.56603833, 113.968556, 22.69827316
346, 113.8505256, 22.57003332, 113.9139943, 22.5237691
7507, 113.8564484, 22.62003008, 114.3097454, 22.71718401
14295, 113.933393, 22.49101418, 113.9014204, 22.51532538
14204, 113.8288835, 22.685504, 113.8563369, 22.74696049
7149, 113.8270988, 22.77309735, 113.8234688, 22.73635626
3102, 113.8614431, 22.58873239, 114.1298599, 22.57173101
12103, 114.104608, 22.57488543, 114.109539, 22.56674428
5402, 114.1315695, 22.60643929, 114.2959773, 22.68899235
3653, 114.2469667, 22.71532731, 114.3064406, 22.77130579
17519, 113.9337326, 22.76402951, 113.8913435, 22.77628893
15859, 113.8901157, 22.57198593, 113.9044365, 22.56528958
15584, 114.2258562, 22.75410679, 114.2178839, 22.61591595
8113, 114.0870308, 22.53805308, 114.0712981, 22.54529076
11256, 113.9299459, 22.74871131, 113.9495485, 22.54063909
2161, 113.9011316, 22.78291302, 113.9126337, 22.7094111
15595, 114.1357676, 22.61672765, 114.1011595, 22.56392718
15931, 113.8803002, 22.56997857, 113.9047839, 22.51303554
8184, 113.8143349, 22.69694457, 113.8064836, 22.69279451
6587, 114.4039807, 22.64005942, 114.37472, 22.69079949
14019, 114.2260265, 22.73332349, 113.9355346, 22.68900164
1788, 114.0494119, 22.72452175, 114.0629383, 22.71540988
2476, 114.1231488, 22.55384302, 114.1083255, 22.54846201
15599, 114.1357676, 22.61672765, 114.1209736, 22.57481572
2294, 114.0882765, 22.54957863, 113.9643322, 22.69905039
16053, 113.8825324, 22.575215, 114.1075515, 22.54658266
4510, 114.0163238, 22.53727597, 114.0109673, 22.53116917
14037, 114.0504754, 22.52944558, 114.0658046, 22.54474181
6117, 113.8764874, 22.56452482, 114.1249263, 22.66784704
16960, 114.1330261, 22.6173389, 114.1323425, 22.59939517
25896, 114.0634647, 22.71861803, 114.0268688, 22.59775455
