residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1348, 114.1063035, 22.60805859, 1429517, 24889, 0
96, 113.9131014, 22.50435826, 2615571, 101425, 1
1211, 114.1389878, 22.60814403, 1014343, 19978, 0
736, 114.0882765, 22.54957863, 2899372, 80569, 1
0, 113.92872713322066, 22.514018319711923, 3051215, 101429.6613891573, 16
1453, 113.9094662, 22.56709149, 1898755, 66710, 0
877, 113.8289193, 22.71956443, 2257915, 57322.87921133436, 3
170, 114.2307736, 22.72322821, 2024713, 31650, 0
299, 113.874393, 22.59737933, 2238125, 105602, 6
568, 114.1183316, 22.56107544, 2457203, 54230, 1
602, 114.0370273, 22.51970821, 2196350, 60447, 0
704, 113.924925, 22.56193358, 2390427, 50803, 0
310, 113.8331494, 22.77119285, 1304616, 18908, 0
559, 114.2839641, 22.75655484, 806685, 16158, 0
0, 113.95262747127684, 22.548782463636027, 2854276, 118562.92539632593, 17
971, 113.8712327, 22.59794122, 2252260, 70356, 6
270, 114.2494805, 22.73784483, 1040991, 18799, 0
1422, 114.1119225, 22.54455996, 1921707, 34406, 1
1249, 114.1334316, 22.58150305, 2706957, 46523, 0
833, 113.9081997, 22.52314579, 3001787, 122301, 2
1181, 113.8909863, 22.77584712, 2127908, 48929.61117160126, 5
1034, 113.9097873, 22.57514024, 1987708, 55976, 3
516, 114.0229049, 22.7261621, 1859821, 30020, 5
643, 114.1017011, 22.63294473, 1664034, 27196, 6
428, 114.0939211, 22.55454265, 2818386, 73351, 1
1035, 114.2262723, 22.55629366, 1625652, 33366, 1
505, 113.8016913, 22.72411911, 2187975, 46507.2125637092, 1
364, 113.9767135, 22.5617285, 2308681, 88209.90482959551, 5
530, 114.0459686, 22.60518174, 1531440, 36185, 0
829, 113.9245373, 22.49098293, 2190171, 54350, 0
198, 114.2599286, 22.7221789, 1310834, 21734, 0
747, 114.0634086, 22.53870217, 2018592, 43879, 0
1129, 114.0621886, 22.52909332, 2225030, 57416, 0
924, 113.9042899, 22.5665363, 2215259, 68465, 2
1197, 113.9263495, 22.49164243, 2166897, 77839, 1
8, 114.2360187, 22.58560019, 1598567, 32979, 0
462, 114.0605613, 22.57273526, 1971239, 54864.404482859296, 1
1086, 114.1521987, 22.61530084, 2080031, 32678, 0
227, 114.1518706, 22.62661899, 1283286, 21689, 0
1000, 114.2766921, 22.74216487, 603527, 9892, 0
523, 113.8772696, 22.56713794, 2259722, 108500.99116390542, 17
739, 113.9022636, 22.56490518, 2714363, 78519, 1
141, 114.1182255, 22.67187027, 1125450, 21438, 0
1351, 113.891709, 22.56091576, 1770487, 49819, 1
4, 113.808973, 22.73600021, 2194654, 60438, 9
390, 114.1366585, 22.61360187, 1622048, 28731, 0
293, 114.3573882, 22.68876983, 1556397, 27648, 0
624, 114.0434634, 22.54686617, 2271228, 55585, 1
1483, 114.2654822, 22.71616594, 1256353, 21548, 0
1021, 114.2751117, 22.74890723, 1036313, 19164, 0
876, 114.0352502, 22.52975706, 1716528, 37902, 0
1005, 114.2988156, 22.77291042, 882516, 16069, 5
1164, 114.0597696, 22.52218548, 2101212, 47529, 0
633, 113.922905, 22.52892951, 2765942, 66082, 0
579, 114.0785332, 22.57760417, 2506706, 44513, 0
14, 114.2687658, 22.72622812, 1197392, 20571, 0
907, 114.0363037, 22.71443239, 2075246, 35874, 0
86, 113.9845005, 22.54563949, 2937564, 86867, 0
1458, 114.0424518, 22.60068335, 2804442, 64793, 0
620, 113.9317283, 22.49017464, 2487641, 74465, 0
404, 113.9197434, 22.52402639, 2359097, 92654, 0
1402, 113.9262389, 22.51063991, 2515575, 87490, 1
555, 114.1335832, 22.62485819, 2512080, 54431.81066652921, 7
154, 114.0211054, 22.66759528, 1495760, 29291, 0
851, 114.1055723, 22.62082856, 1577395, 26372, 0
439, 114.1183749, 22.57145836, 2400474, 64197.52757214799, 1
160, 114.2576682, 22.72897917, 989375, 17415, 0
238, 114.3410788, 22.69204305, 1083789, 17981, 0
1454, 113.9403372, 22.5896344, 2460763, 65002, 0
1488, 114.0789495, 22.55088775, 2405156, 54376, 4
1069, 114.0935406, 22.53768023, 2169265, 42827, 1
1403, 113.9131858, 22.54233207, 2175597, 82293, 0
197, 114.0278292, 22.66347045, 2032817, 32765, 0
1212, 113.9517906, 22.56079444, 2504581, 81650.35004719446, 8
754, 114.0378911, 22.55018212, 2488810, 68055, 2
168, 114.0154736, 22.65448952, 2367487, 45096.29948104642, 0
706, 113.9305493, 22.50677465, 2686809, 108403, 1
986, 114.1255815, 22.54376704, 2507402, 40812.5229, 1
212, 114.0283921, 22.6298931, 2254989, 46619, 0
1245, 114.2507345, 22.72444121, 1357072, 19741, 0
1331, 114.1290024, 22.55002197, 2464381, 42362, 0
1436, 114.1085199, 22.56635246, 2219714, 40557, 0
1187, 113.9359076, 22.50245966, 3307888, 102584, 3
272, 114.0301127, 22.52337261, 2580505, 62327, 0
769, 113.9686058, 22.54653142, 3381645, 98969.87273428998, 1
941, 114.1232604, 22.60964239, 1367445, 23911, 0
575, 114.1359977, 22.6101582, 1540060, 25091, 4
0, 113.92655437673281, 22.511845566761153, 3030047, 85122.38034823391, 18
1014, 113.9108471, 22.54381618, 2399344, 59210.030976212336, 1
1368, 114.0770503, 22.54085385, 3274395, 51792, 1
928, 113.8919984, 22.56474909, 2765604, 98288, 0
384, 114.2651399, 22.71444255, 1101435, 20547, 0
944, 113.9222668, 22.53854073, 3584651, 118187, 0
823, 114.0109379, 22.56738903, 2431939, 103688.58917020031, 3
885, 114.1317115, 22.59419436, 1751218, 30696, 0
1051, 113.9164802, 22.51914492, 2140095, 67758, 5
967, 113.811802, 22.66183387, 2204717, 40621, 0
437, 113.8573938, 22.55802078, 2277023, 55389, 4
1352, 114.0548224, 22.51337137, 2043200, 62785.91126003872, 1
560, 113.9003681, 22.52930743, 2775627, 154552, 6
200, 114.1364108, 22.58071642, 2849243, 46016, 0
420, 113.9164422, 22.54071179, 2120808, 57492, 0
744, 114.29936, 22.59829562, 1575629, 29697, 0
1175, 114.1468428, 22.55594912, 1974279, 36842, 0
847, 114.2348507, 22.72008652, 1566599, 23068, 0
1072, 114.0378593, 22.62944098, 1839434, 32016, 6
850, 113.9556978, 22.59273165, 2427856, 65605.25092213482, 1
904, 114.0737102, 22.53895916, 2133379, 42794.91882, 1
51, 114.063623, 22.64649434, 1842548, 33908, 0
385, 114.029352, 22.64951895, 2413642, 51954, 4
1469, 114.0430301, 22.55562313, 1965625, 49108, 1
726, 114.0076839, 22.63159925, 2458910, 67923, 2
886, 113.8846557, 22.56130469, 2177122, 118117, 5
584, 114.0064083, 22.64803167, 2408274, 71024.8263594575, 2
1247, 113.8987779, 22.5518305, 2375002, 90995, 7
265, 113.8651559, 22.57054362, 1898617, 66511, 0
440, 113.889344, 22.56290387, 1728634, 45328, 0
512, 113.9104005, 22.56214157, 2364798, 66993, 2
991, 114.2330761, 22.71232915, 1594242, 27747, 0
1288, 114.0798653, 22.55926977, 2976002, 84786, 0
1327, 114.2324594, 22.72394251, 1215468, 20708, 0
1393, 114.1187972, 22.54758788, 2798141, 48144, 0
1168, 114.2172382, 22.55800213, 1908219, 29349, 0
676, 113.890255, 22.50393848, 2718224, 80980, 0
1092, 114.0426604, 22.54373309, 1933610, 38396, 0
813, 114.2333796, 22.74669721, 1537768, 23199, 0
0, 113.95262750920516, 22.550955221397317, 3077122, 122660.58710449564, 20
1103, 114.0615065, 22.56363477, 2346398, 58998, 0
583, 114.1273812, 22.56908371, 2109363, 46627, 0
609, 114.218795, 22.55614242, 1643327, 28235, 0
572, 114.1092472, 22.58454536, 1611493, 27269, 0
1214, 114.0623047, 22.57298812, 2170815, 42993, 0
502, 114.0284364, 22.59933673, 2371955, 75995, 0
92, 114.2258562, 22.75410679, 1416746, 26597, 0
1407, 113.8895501, 22.58777326, 1850076, 46486, 0
1280, 114.0492158, 22.62659024, 1578275, 40767, 0
34, 114.1134062, 22.6121577, 972063, 16191, 0
913, 114.0417678, 22.57489347, 3023412, 65337, 0
0, 113.928727141437, 22.51401832461661, 2410724, 89164.46158562881, 15
492, 113.9441519, 22.55910688, 2123829, 63180, 0
0, 113.9461092182144, 22.553127981778623, 3137078, 113171.5945704096, 13
410, 113.9412351, 22.76133931, 1508647, 32787, 0
286, 114.2138858, 22.7535822, 913858, 18105, 0
430, 113.8197806, 22.67144481, 2185437, 52858.10160102063, 1
884, 114.0382715, 22.5323228, 2288959, 44112, 0
1055, 113.8985783, 22.55517608, 2429836, 120694, 1
730, 114.1494133, 22.61039668, 1631407, 25556, 0
16, 114.0524017, 22.61619895, 2079221, 40074, 5
309, 114.0463786, 22.62462621, 2536273, 44867, 7
955, 113.9182477, 22.54568435, 2383157, 50968, 0
945, 114.1258379, 22.55414779, 3056570, 66140, 1
155, 114.2424108, 22.59416598, 1538083, 26876, 0
117, 113.9620102, 22.54446133, 2214021, 85273, 5
425, 114.3239581, 22.68326099, 1219853, 23570, 2
745, 113.8874259, 22.49073209, 2894066, 125859.72062734465, 4
682, 114.1394023, 22.55853072, 2697231, 49837, 0
1370, 114.021228, 22.53092009, 2308837, 113076.49069370066, 12
1429, 114.3340605, 22.68856789, 949510, 17602, 0
801, 114.1087436, 22.54383051, 2481003, 60799, 0
509, 114.3475432, 22.66921114, 1278720, 24357, 0
857, 113.8713719, 22.59216138, 1770425, 39152, 0
1227, 113.9727779, 22.56181651, 2549834, 60594, 0
931, 113.8468301, 22.61160865, 2578426, 82152, 3
383, 114.1139303, 22.5495494, 2018849, 38598, 0
887, 113.9696668, 22.55952746, 2639347, 71179, 1
879, 114.1322741, 22.57814231, 2276827, 56821.79033930013, 1
1337, 113.8933541, 22.58630872, 1927161, 45335, 5
496, 114.0660873, 22.62543468, 2272946, 33838, 0
1409, 114.1411711, 22.55105452, 2594391, 43394, 0
352, 113.9464051, 22.5290985, 2813386, 114934, 0
1022, 113.9031903, 22.57336645, 2946350, 124290.80654259385, 5
1412, 114.2223735, 22.68043649, 1374817, 22753, 0
992, 114.2642481, 22.59164177, 1189279, 21535, 0
149, 114.1038279, 22.60815141, 1067755, 18011, 0
191, 113.9410532, 22.59262983, 1909103, 54197.57923160965, 1
1016, 114.0151204, 22.63547529, 2208104, 83498.47239279137, 3
143, 114.1643086, 22.56319397, 2201897, 49596, 0
1257, 114.1330261, 22.6173389, 1491088, 25297, 0
476, 114.0056544, 22.53746564, 2174979, 63616.743970752694, 2
641, 113.9080407, 22.49400061, 2644130, 92482.43806118803, 2
607, 113.9013736, 22.55437896, 2426814, 55716, 0
656, 114.2335964, 22.55546638, 3103398, 62846, 0
423, 114.2657518, 22.75309329, 1202396, 23227, 0
982, 114.251157, 22.59278629, 1517250, 27135, 0
421, 114.056674, 22.62875668, 2226830, 38091, 0
529, 114.0842514, 22.57459896, 2517418, 41797, 0
1101, 113.9078936, 22.51408319, 2426999, 70334, 0
46, 114.2676535, 22.58962665, 1958241, 33152, 0
228, 113.8452861, 22.57255575, 2391728, 77885, 1
732, 114.0370696, 22.52502988, 2605472, 59417.94790653925, 0
705, 114.025783, 22.64965565, 2197329, 66807.08843742235, 16
278, 114.0636539, 22.57488868, 2286928, 60567.2267021809, 1
504, 114.2421034, 22.72895213, 1141736, 26274, 0
1242, 113.8842557, 22.57875736, 2278387, 71227, 0
268, 113.8634262, 22.60339678, 1685873, 33997, 0
12, 114.2164448, 22.72955162, 1621976, 31283, 0
1166, 114.272928, 22.755462, 939950, 16106, 0
699, 114.1155868, 22.62877384, 1337763, 23334, 0
889, 114.0654682, 22.57372215, 2541730, 64035.39685276912, 1
1148, 114.2146226, 22.73517897, 1937201, 40970, 0
444, 114.1349006, 22.56090918, 2939374, 46388, 0
78, 113.8579814, 22.62330717, 2355327, 53231, 11
1143, 113.9360299, 22.74693106, 2267120, 37686, 0
208, 114.1211318, 22.57900281, 2480548, 40951, 1
116, 114.1298549, 22.55264981, 2694035, 46290, 0
1283, 114.2862628, 22.73286435, 1230805, 20130, 0
994, 114.0060361, 22.64477552, 2250796, 67070.93024444628, 24
1372, 114.063904, 22.52564087, 2392486, 47870, 1
458, 114.1122902, 22.5393911, 1593509, 28170, 0
392, 114.0224392, 22.63876677, 2254811, 59756, 0
263, 114.1180708, 22.5549898, 2617500, 69469, 0
1108, 114.1501174, 22.55812182, 3130353, 50879, 0
122, 114.121452, 22.60815958, 1267444, 20918, 0
995, 114.0360085, 22.57224267, 2342671, 62086, 1
222, 114.0639037, 22.53085766, 2570500, 49112, 0
1097, 114.0385725, 22.54295442, 3101993, 75766, 0
179, 114.0238058, 22.68184804, 2200009, 51083, 0
460, 114.0527146, 22.57151037, 2784929, 50744, 0
844, 114.0410513, 22.56905086, 2558168, 45913, 1
1236, 113.8803084, 22.58326725, 1991408, 41419, 0
405, 113.8455531, 22.62289282, 2146905, 55727.38085390959, 6
412, 114.0726867, 22.53441951, 2526004, 90399, 0
1406, 113.902988, 22.51856299, 2732957, 84897, 0
146, 114.0374198, 22.63386006, 2169254, 36535, 0
17, 113.9725439, 22.55005074, 2728809, 95444.16904367537, 1
30, 113.9479352, 22.56200681, 2290402, 63709.374660019144, 1
75, 114.2023, 22.65179365, 1031650, 17285, 0
1127, 113.8947251, 22.57459705, 2138383, 45583, 0
791, 114.1116159, 22.56249105, 1997480, 36486, 0
414, 113.9122957, 22.51269682, 2662342, 115782.23158836793, 3
1099, 113.9673517, 22.57211963, 3588575, 74231, 0
669, 113.9271505, 22.55198567, 2396457, 59098, 0
581, 114.1701289, 22.57016194, 2736360, 44112, 1
897, 113.9109561, 22.51688356, 2225767, 79221, 0
507, 114.2361822, 22.71228411, 1235779, 20554, 0
916, 114.0398734, 22.6096886, 1860038, 42498, 0
903, 113.8678879, 22.5713629, 2224139, 83288.64524281824, 27
187, 113.892157, 22.60307552, 2104582, 81963, 0
673, 114.116775, 22.57874888, 2119081, 44229, 0
213, 113.8778201, 22.58583875, 2137502, 56915, 0
934, 114.1169456, 22.5846696, 2190306, 38473, 0
806, 114.1114102, 22.60452048, 877477, 14217, 0
85, 113.9272117, 22.5017876, 2021616, 68629.35744457308, 0
563, 114.1125384, 22.59592024, 1675815, 25211, 4
1426, 114.1122248, 22.6075147, 1662240, 26171, 0
657, 113.8847797, 22.57238172, 2487838, 43932, 4
645, 114.2209095, 22.72832054, 1193263, 24452, 3
832, 114.1302009, 22.54673799, 2408426, 44325, 0
1262, 114.136865, 22.62534243, 1716290, 29161, 0
0, 114.00260095881126, 22.555300740469715, 2867302, 104258.35024617602, 20
996, 113.912992, 22.5348174, 2425207, 73019.93843745964, 0
403, 113.9687953, 22.56660558, 2815035, 60902, 0
783, 114.0135686, 22.65590543, 2084210, 42012, 1
644, 114.3392882, 22.71090932, 1676326, 30088, 0
1446, 114.1192687, 22.55819955, 1902478, 35645, 0
398, 114.2618871, 22.72814276, 1608095, 26646, 0
890, 113.8840849, 22.55088219, 2576693, 116584.67257550183, 0
1404, 113.9064103, 22.53116699, 2763755, 91400, 0
723, 114.2619689, 22.7128935, 1237346, 20969, 0
1472, 114.0240966, 22.63303427, 2117998, 47940, 0
508, 114.3337922, 22.6956631, 1581668, 26918, 0
601, 113.9217899, 22.54817124, 3449861, 78601, 0
1358, 114.0169023, 22.63031988, 2173807, 104011, 6
527, 114.2290116, 22.5464949, 1603601, 26842, 0
377, 113.8866185, 22.54924298, 2389770, 124618, 4
733, 114.0455057, 22.53981904, 1982062, 41923, 0
697, 113.9261702, 22.51602169, 2516659, 97185.51845905217, 2
771, 114.1271144, 22.55046582, 3058758, 61393, 0
1201, 114.2398126, 22.73337579, 1284553, 20591, 0
1396, 113.9072223, 22.54231109, 2524697, 112537, 2
23, 113.9032597, 22.77940868, 2277106, 36245, 2
415, 113.8086356, 22.70191858, 2145075, 44124, 0
1159, 114.0189331, 22.53066853, 2505276, 49454, 0
1202, 113.9159869, 22.48814182, 2249423, 67150.01938757187, 1
