residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1439, 114.1042978, 22.5421643, 2467614, 42572.49744, 0
1322, 114.1251735, 22.69282988, 1491249, 24638, 0
883, 113.906304, 22.51810499, 3086404, 64219, 0
0, 113.94393644693768, 22.527054875886922, 3898076, 103022.26286242295, 18
823, 114.0109379, 22.56738903, 2827645, 78582.99206689057, 3
1388, 114.2101908, 22.70825517, 819145, 15119, 0
1169, 114.2468222, 22.72244962, 1305340, 22520.370759999998, 0
996, 113.912992, 22.5348174, 2357387, 55339.987638725084, 6
739, 113.9022636, 22.56490518, 2262826, 49791, 4
1196, 114.3265685, 22.67727231, 1578203, 25491, 0
102, 113.8697869, 22.56524438, 2388658, 63631, 0
615, 113.9840701, 22.59480876, 2705947, 70863.45215887351, 0
1070, 113.863216, 22.57078846, 2217244, 60411.08849078646, 13
314, 114.0988199, 22.55814228, 1892700, 41516, 0
167, 113.9348085, 22.54579039, 2748918, 85800, 0
954, 114.135555, 22.60315924, 1247844, 24115, 0
1083, 113.9109423, 22.55746874, 1622844, 30905, 0
985, 114.03878, 22.60185337, 2333207, 64842.11325926345, 23
1123, 114.1012191, 22.56509162, 2453672, 56454.01174947547, 1
35, 114.1782169, 22.65210551, 1374968, 24203, 0
745, 113.8874259, 22.49073209, 3364965, 95385.93886512404, 4
144, 113.9192187, 22.51529625, 2103614, 47479.16672, 0
1263, 113.922349, 22.50495552, 2490649, 77065, 1
1401, 114.1168188, 22.59559073, 1559524, 30463, 0
1377, 114.2273386, 22.69887747, 1860767, 35743, 0
1403, 113.9131858, 22.54233207, 2180851, 60607.89373952731, 0
1229, 114.2375805, 22.71960573, 1449294, 22189.567900000002, 0
1365, 113.9688573, 22.55223593, 4173787, 91432.86424000001, 1
276, 113.9206787, 22.50698449, 2678951, 67432.21942218296, 1
1268, 114.2300401, 22.56002957, 1280839, 29784.9552, 1
1110, 114.1717473, 22.56436374, 2475359, 47627.293419902904, 1
1283, 114.2862628, 22.73286435, 1201014, 20130, 0
1337, 113.8933541, 22.58630872, 1869778, 36968, 0
1385, 113.9755917, 22.56720268, 2990389, 58705.039178784005, 1
456, 114.0455283, 22.54648056, 3276016, 72425.98727130923, 0
1042, 114.0285468, 22.56929008, 2564171, 52916.25678, 1
946, 113.9250988, 22.48714364, 2753432, 64637.15994269175, 1
626, 113.9141317, 22.50931602, 2238018, 52043.36968, 1
53, 114.1258456, 22.70170658, 1067295, 19056, 0
1297, 113.9235178, 22.5518927, 2170299, 56835.88333189955, 0
685, 113.9358056, 22.51703336, 7861059, 231838.34323632516, 6
829, 113.9245373, 22.49098293, 2305710, 46183.006160000004, 0
572, 114.1092472, 22.58454536, 1513027, 26385, 0
1396, 113.9072223, 22.54231109, 2775818, 78685.52200306073, 0
1017, 114.0311193, 22.66163265, 1800707, 30190, 0
161, 114.0264507, 22.53920301, 1352522, 32379, 0
135, 113.8740527, 22.59011904, 2181109, 45045, 0
683, 113.8485196, 22.57678478, 2385170, 70343.4333456143, 15
117, 113.9620102, 22.54446133, 2393584, 59486, 0
803, 113.8464461, 22.59849596, 1649307, 41496, 1
804, 113.8877406, 22.567384, 1638918, 29132.25068, 0
755, 113.9156862, 22.52466374, 2236693, 58574.631664305, 1
1340, 114.1505862, 22.60657466, 840535, 13645, 0
170, 114.2307736, 22.72322821, 1715980, 31587, 2
1372, 114.063904, 22.52564087, 2099039, 43835, 0
232, 114.0634647, 22.71861803, 1509641, 28756, 0
67, 114.296628, 22.77622703, 839564, 18202.528903917926, 0
1453, 113.9094662, 22.56709149, 1999644, 52879.94742936229, 0
195, 113.9062106, 22.53650882, 2626851, 58678.422117818875, 1
1471, 113.8874063, 22.55910003, 3163661, 68110, 0
302, 114.0225579, 22.60437566, 2808199, 62102.084890501385, 0
1406, 113.902988, 22.51856299, 3125179, 72673.61746000001, 1
127, 113.9419285, 22.55326824, 3114856, 86564.84240282429, 5
460, 114.0527146, 22.57151037, 2212436, 39618, 1
95, 114.0232271, 22.62488194, 2608629, 79886, 3
643, 114.1017011, 22.63294473, 1267286, 25983, 4
1029, 114.0972235, 22.62774315, 1843510, 34486, 0
1097, 114.0385725, 22.54295442, 2835445, 69032, 2
955, 113.9182477, 22.54568435, 2355305, 47371, 0
137, 114.1314078, 22.61571589, 1580807, 25733, 0
461, 114.2996634, 22.58772059, 3306983, 64456, 0
596, 114.0386285, 22.55495065, 2376039, 55252.9952, 2
1077, 113.9105138, 22.58366547, 2092352, 51567, 0
935, 114.0261419, 22.60543043, 1851789, 50033, 0
632, 113.8885349, 22.5522118, 4797781, 119557.92147595696, 5
6, 114.3355732, 22.71003255, 1613192, 26595, 0
616, 113.8511874, 22.57309821, 2307894, 66729.79780409233, 24
150, 114.0755723, 22.65681014, 1309985, 26325, 0
1278, 113.8630781, 22.5839093, 2174363, 52489, 0
840, 114.1403311, 22.69914974, 1075206, 20867, 0
1092, 114.0426604, 22.54373309, 1875489, 35456, 0
70, 113.8829829, 22.56603833, 2053267, 42393, 0
1086, 114.1521987, 22.61530084, 1974154, 32389.87222429698, 0
1046, 114.0339166, 22.527063, 2135981, 41803, 0
1345, 114.0521828, 22.51075325, 1291822, 26573, 0
868, 113.8929912, 22.58353792, 2306847, 53835, 6
1330, 113.9546771, 22.57226922, 2274135, 50560, 0
565, 114.1491021, 22.54897152, 2241605, 52126.79322, 1
550, 114.0403327, 22.59988803, 1884168, 46879, 0
604, 113.927215, 22.50483595, 3483943, 77777.68892859983, 2
1374, 114.0923279, 22.55550622, 2930281, 60513, 0
1390, 114.3675525, 22.73932439, 457501, 7746, 0
1356, 114.11744, 22.56020933, 2452183, 44909.185339999996, 1
46, 114.2676535, 22.58962665, 1921561, 33151.7698, 1
432, 113.8268095, 22.64682811, 2133889, 42162, 0
0, 113.94828199271926, 22.548782462956922, 3407067, 94339.2883102272, 20
