residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
483, 114.1315695, 22.60643929, 1757073, 33468.98362, 0
1044, 114.2502282, 22.57149983, 566446, 9539, 0
1048, 114.0367893, 22.61215185, 2033869, 38741.44272, 0
1037, 114.2316134, 22.71839642, 1276663, 21683, 0
383, 114.1139303, 22.5495494, 1856637, 35365.52622, 0
351, 113.8938829, 22.55817388, 1741757, 36285.72148, 0
51, 114.063623, 22.64649434, 1772107, 33755.39302, 0
168, 114.0154736, 22.65448952, 1593251, 36994.67260993727, 3
891, 114.0277042, 22.535769, 2430955, 47708.4095, 0
309, 114.0463786, 22.62462621, 1934330, 36845.45042, 1
0, 113.96131851970846, 22.527054875886922, 3426770, 87022.79264900574, 20
222, 114.0639037, 22.53085766, 2206831, 44176.1305, 1
25, 113.8875092, 22.5816675, 2092885, 47405, 0
265, 113.8651559, 22.57054362, 1624221, 40935, 0
370, 114.1194332, 22.69858259, 950684, 18657.526324, 0
66, 114.2542881, 22.59192917, 1672404, 27439.055800000002, 1
568, 114.1183316, 22.56107544, 2272951, 43295.52944, 1
1209, 113.848971, 22.61149351, 2085082, 42160.55258, 1
1121, 113.8467509, 22.76617068, 1527873, 27431, 0
1038, 114.1197653, 22.55462931, 2183764, 48292.93356, 1
1010, 113.899782, 22.51468963, 2907184, 70982.50381045666, 1
482, 114.0304731, 22.6598973, 1554053, 25497.30448, 2
530, 114.0459686, 22.60518174, 1443284, 27491.88838, 0
602, 114.0370273, 22.51970821, 2242314, 54748.89729025772, 1
33, 114.0562809, 22.56726053, 2143253, 49765.43988231946, 2
327, 114.2484599, 22.73174, 1362470, 23303, 0
1435, 114.0403402, 22.55778015, 2468593, 60273.786016235455, 0
830, 114.1184496, 22.55142453, 2313620, 55382.26590573777, 0
152, 113.889128, 22.49985091, 2795304, 68250.83937644606, 1
89, 113.8295056, 22.71524041, 1284631, 25593, 0
1003, 114.1551732, 22.61770613, 1236603, 21435, 0
1419, 114.065254, 22.55279516, 2641630, 58418.46062, 1
624, 114.0434634, 22.54686617, 2044909, 44309.1075675523, 0
1325, 113.9376054, 22.75894114, 961571, 17368, 0
63, 114.3298608, 22.67928296, 1400829, 25136.71068, 0
264, 113.8288835, 22.685504, 1539812, 32383.366339837663, 3
612, 113.9040543, 22.57707871, 2705990, 67391.49697895584, 14
733, 114.0455057, 22.53981904, 1920794, 36587.61774, 0
844, 114.0410513, 22.56905086, 2161545, 38787.14072, 1
1334, 114.2548124, 22.58942621, 1360702, 25918.912999999997, 1
1369, 114.0358903, 22.56212174, 2585898, 55158, 0
1272, 114.255152, 22.6893383, 1384594, 24300, 0
1101, 113.9078936, 22.51408319, 2673335, 57294, 0
462, 114.0605613, 22.57273526, 2075922, 49692.38150309622, 1
1448, 114.0822853, 22.63028795, 1845076, 38426.6926214856, 1
739, 113.9022636, 22.56490518, 2250153, 46877.00522, 0
724, 114.13128, 22.57143687, 2100084, 44166.24174186144, 1
337, 114.1354574, 22.69815314, 1274367, 21542.0781, 0
122, 114.121452, 22.60815958, 1186840, 20335, 0
1157, 114.0294657, 22.63053454, 1783366, 33969.86208, 0
753, 113.8901157, 22.57198593, 1872290, 37846.58309849233, 0
112, 114.017922, 22.73325281, 1314365, 22555, 0
848, 114.0320278, 22.56413598, 2093335, 48149.03022697152, 3
1357, 114.0051472, 22.55061219, 3408231, 70272.11404750387, 1
1470, 114.0483532, 22.57083058, 2076752, 44999.09367955985, 0
963, 114.2375488, 22.729688, 1421462, 23321.907900000002, 0
804, 113.8877406, 22.567384, 1484418, 29132.25068, 1
