firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
908, 114.1134928, 22.53948341, 3, 3.0305069537909377, 3287416
517, 113.7961225, 22.72937009, 4, 3.0305069537909377, 5865453
1699, 114.2786885, 22.72662505, 9, 8.081351876775834, 3473808
755, 113.9923093, 22.58984621, 3, 4.040675938387917, 13686300
1607, 114.0189306, 22.72999684, 1, 1.0101689845969792, 1010922
433, 114.0658046, 22.54474181, 9, 8.081351876775834, 3982284
1507, 114.041213, 22.596557, 2, 2.0203379691939585, 1367810
1920, 114.0527624, 22.63151064, 3, 3.0305069537909377, 1.7915153106308408E7
781, 114.2981812, 22.60276444, 1, 1.0101689845969792, 659988
1073, 113.8744093, 22.58226338, 6, 7.071182892178855, 7128864
814, 114.0211554, 22.71756814, 3, 3.0305069537909377, 2567124
374, 114.2247268, 22.55089246, 8, 8.081351876775834, 19890585
203, 114.1584063, 22.56203742, 3, 3.0305069537909377, 4546050
1397, 114.0151301, 22.5346779, 3, 3.0305069537909377, 5684927.49
856, 114.0573383, 22.6047373, 7, 8.081351876775834, 2033280
1347, 114.0151301, 22.5346779, 3, 3.0305069537909377, 5684927.49
342, 114.0151301, 22.5346779, 3, 3.0305069537909377, 5684927.49
1055, 113.8122844, 22.71229903, 1, 1.0101689845969792, 846009
257, 114.3024076, 22.66862423, 3, 3.0305069537909377, 2752960
250, 114.0527624, 22.63151064, 3, 3.0305069537909377, 1.7915153106308408E7
1669, 114.0151301, 22.5346779, 3, 3.0305069537909377, 5684927.49
1434, 114.0527624, 22.63151064, 3, 3.0305069537909377, 1.7915153106308408E7
775, 114.3141642, 22.7751023, 3, 3.0305069537909377, 7733810
1457, 114.0981703, 22.53641136, 2, 2.0203379691939585, 2792508.38328
1107, 113.838392, 22.58838925, 2, 2.0203379691939585, 838028
1911, 114.0151301, 22.5346779, 3, 3.0305069537909377, 5684927.49
1799, 114.1049978, 22.56803444, 8, 7.071182892178855, 5179044
1777, 114.3141539, 22.68651171, 1, 1.0101689845969792, 744282
704, 114.1442097, 22.55434867, 3, 3.0305069537909377, 2555352
1363, 114.0558319, 22.6636871, 6, 5.050844922984896, 4566800
1136, 113.9478989, 22.57658566, 3, 3.0305069537909377, 1194156
806, 114.0151301, 22.5346779, 3, 3.0305069537909377, 3828234
459, 113.7961225, 22.72937009, 3, 3.0305069537909377, 5865453
1498, 114.0790509, 22.54727143, 4, 5.050844922984896, 10028961
122, 114.2301425, 22.55957429, 4, 5.050844922984896, 9239700
728, 114.0527624, 22.63151064, 3, 4.040675938387917, 2.388687080841121E7
1126, 114.02826, 22.65797554, 8, 8.081351876775834, 4464124
1192, 114.1016038, 22.53736933, 3, 3.0305069537909377, 3959280
1200, 113.8108448, 22.66372012, 3, 4.040675938387917, 9145791
135, 114.102844, 22.60151047, 3, 3.0305069537909377, 7813734
1160, 113.9176323, 22.4970986, 6, 6.061013907581875, 13970688
232, 114.0321467, 22.60364925, 3, 3.0305069537909377, 3685056
1490, 114.0300415, 22.74811872, 1, 1.0101689845969792, 1004270
922, 113.8341494, 22.62683087, 5, 6.061013907581875, 9332120
309, 114.1049978, 22.56803444, 21, 14.14236578435771, 20716176
1170, 113.9157343, 22.5349482, 3, 3.0305069537909377, 3819984
674, 113.9180301, 22.68796411, 3, 3.0305069537909377, 1996500
1017, 113.9045836, 22.80055712, 3, 4.040675938387917, 6026643
317, 113.7961225, 22.72937009, 3, 3.0305069537909377, 5865453
2006, 114.0497183, 22.72134663, 1, 1.0101689845969792, 727200
578, 114.3607431, 22.75979014, 1, 1.0101689845969792, 760896
987, 114.2563818, 22.58771104, 3, 3.0305069537909377, 8366085
138, 114.2169694, 22.61605202, 3, 3.0305069537909377, 7907625
17, 114.0024811, 22.53454229, 4, 5.050844922984896, 10613268
715, 113.9238649, 22.572151, 3, 3.0305069537909377, 2.4951838606200002E7
1338, 113.933633, 22.52550055, 5, 5.050844922984896, 4646040
735, 114.0139728, 22.75095175, 41, 22.22371766113354, 17141800
1717, 113.7961225, 22.72937009, 3, 3.0305069537909377, 5865453
1167, 114.1283182, 22.59289349, 8, 6.061013907581875, 3136640
1266, 114.0321467, 22.60364925, 6, 6.061013907581875, 7370112
1814, 114.2847691, 22.67326189, 3, 3.0305069537909377, 5508300
829, 114.0579046, 22.57556408, 3, 3.0305069537909377, 5501194.38
2036, 114.0299919, 22.6668482, 1, 1.0101689845969792, 270841.64814917697
1269, 113.8927351, 22.80211546, 1, 1.0101689845969792, 606407
