HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
3285,113.8832089,22.78014068,113.8909863,22.77584712,0,0,0,0,0,4,0
260,114.0637197,22.53426758,114.0493693,22.63206898,0,0,0,0,0,1,0
1182,113.8957434,22.53233885,114.2172382,22.55800213,0,0,0,0,0,2,0
316,113.9243591,22.73817724,113.9303098,22.75153761,0,0,0,0,0,1,0
377,114.1017136,22.57259824,114.131624,22.61412138,0,0,0,0,0,2,0
259,113.8593418,22.62832393,114.0580154,22.62604388,0,0,0,0,0,5,0
3340,114.1281902,22.61384109,114.1125384,22.59592024,0,0,0,0,0,5,0
591,114.0227262,22.66113226,114.2766921,22.74216487,0,0,0,0,0,3,0
3448,114.0367893,22.61215185,114.0173094,22.62430723,0,0,0,0,0,5,0
1847,113.8922297,22.54960966,114.0684466,22.57172139,0,0,0,0,0,1,0
641,114.0239956,22.64331109,114.1474494,22.62468159,0,0,0,0,0,4,0
1739,113.7721529,22.6885906,114.3062945,22.60154936,0,0,0,0,0,5,0
2525,113.8845256,22.55733132,114.1870302,22.65538061,0,0,0,0,0,4,0
1611,113.8505256,22.57003332,114.1076893,22.61655363,0,0,0,0,0,3,0
2294,113.8746316,22.55197004,114.1505862,22.60657466,0,0,0,0,0,2,0
363,113.8288835,22.685504,114.1135575,22.61516135,0,0,0,0,0,2,0
1516,114.058055,22.69512613,114.364301,22.74693896,0,0,0,0,0,1,0
330,113.8684735,22.58431758,114.3697374,22.74835856,0,0,0,0,0,2,0
3535,114.1178066,22.60123914,113.9011316,22.78291302,0,0,0,0,0,2,0
805,114.0173094,22.62430723,114.3030508,22.59987324,0,0,0,0,0,4,0
780,114.0480173,22.51930582,114.1155868,22.62877384,0,0,0,0,0,3,0
3370,114.0367893,22.61215185,114.0173094,22.62430723,0,0,0,0,0,4,0
2256,113.8998904,22.580372,114.2681153,22.73476386,0,0,0,0,0,5,0
351,113.8593418,22.62832393,114.1163171,22.68047672,0,0,0,0,0,5,0
2424,113.9105372,22.54143641,114.2756256,22.75022902,0,0,0,0,0,4,0
231,114.2492833,22.72174575,114.0233353,22.66876881,0,0,0,0,0,4,0
3456,114.2468222,22.72244962,114.2615814,22.68973429,0,0,0,0,0,4,0
3421,114.2330761,22.71232915,113.9299459,22.74871131,0,0,0,0,0,3,0
1148,113.9603234,22.53010472,114.11215,22.61976315,0,0,0,0,0,4,0
989,114.1218045,22.57112173,113.9218421,22.59078246,0,0,0,0,0,5,0
543,114.1234008,22.62789153,114.2774409,22.72813883,0,0,0,0,0,1,0
250,114.1332851,22.58555106,114.2256146,22.69747644,0,0,0,0,0,2,0
3554,113.8624756,22.5662248,114.0173094,22.62430723,0,0,0,0,0,1,0
355,113.9040543,22.57707871,114.1329378,22.60950451,0,0,0,0,0,2,0
650,113.8505256,22.57003332,114.2320571,22.54991148,0,0,0,0,0,3,0
505,114.1077031,22.54312701,114.1077031,22.54312701,0,0,0,0,0,3,0
477,114.2146226,22.73517897,114.1114102,22.60452048,0,0,0,0,0,1,0
585,113.9299459,22.74871131,114.296628,22.77622703,0,0,0,0,0,5,0
453,113.8591147,22.57989424,114.272928,22.755462,0,0,0,0,0,5,0
