schools-ID,x-coordinate,y-coordinate,Num-student
74, 114.139176, 22.60691245, 4
31, 114.252795, 22.72976183, 20
362, 113.8339901, 22.73463248, 1
10, 113.9034759, 22.75829947, 15
320, 114.2729687, 22.69881083, 15
1413, 114.0461958, 22.52781667, 1
1395, 114.0523589, 22.5244031, 3
1332, 114.0822549, 22.73675821, 2
620, 113.9913012, 22.73923728, 2
62, 114.3638261, 22.74511559, 9
250, 114.0285019, 22.63620018, 31
1850, 114.31982375867318, 22.61831074209673, 3
366, 114.1164567, 22.69397272, 9
1408, 114.018013, 22.55598525, 3
8, 114.0889951, 22.55683072, 1
148, 113.8967735, 22.73733075, 11
400, 114.0272975, 22.74138882, 7
589, 114.1070929, 22.65326972, 1
112, 113.8922981, 22.57494035, 22
1854, 114.03301952495424, 22.627001778145807, 5
28, 114.1046557, 22.59398831, 6
346, 113.8852936, 22.55847545, 3
7, 114.0744233, 22.55972382, 8
1053, 114.2259723, 22.72781478, 3
162, 113.8344012, 22.73466123, 6
399, 113.8167886, 22.677837, 2
1230, 114.0356296, 22.75006837, 1
1869, 113.85919887609661, 22.635692810812877, 3
139, 113.9414054, 22.56276132, 7
1860, 114.32851480389661, 22.6878390296444, 4
1835, 114.16121227527792, 22.605274188200983, 4
306, 113.8710768, 22.57760267, 5
1087, 114.2814846, 22.75480523, 2
1068, 114.2406833, 22.71509973, 2
1874, 114.27419582331723, 22.768231097995837, 3
385, 113.8092739, 22.70581523, 10
1237, 114.0178647, 22.65794175, 3
871, 114.0712981, 22.54529076, 4
106, 113.8365614, 22.6489862, 10
417, 113.8532644, 22.56561573, 3
211, 113.916807, 22.72566634, 8
24, 114.1483764, 22.61584454, 14
731, 114.3925853, 22.75308999, 1
1852, 114.06561089687126, 22.685666270773837, 2
594, 113.9009591, 22.73699951, 1
12, 114.026119, 22.60281383, 15
32, 114.1342023, 22.69909419, 31
1887, 113.7983615742578, 22.633520055128976, 0
346, 113.9928238, 22.6697487, 16
358, 113.9268269, 22.69852648, 1
1853, 114.00260091343732, 22.753021786373257, 3
1407, 114.0459065, 22.56872832, 5
455, 113.9094014, 22.53718549, 4
15, 114.2289843, 22.55465403, 1
470, 113.9171848, 22.491473, 4
336, 113.8876299, 22.58130424, 3
412, 114.1936691, 22.65522272, 16
304, 113.7859447, 22.69754333, 3
357, 113.8091422, 22.75874576, 1
419, 113.8837617, 22.66892465, 1
479, 113.9687935, 22.55608872, 1
138, 114.0598437, 22.53271154, 7
882, 114.2707577, 22.58889099, 0
1240, 114.0299173, 22.63171636, 3
440, 114.0496855, 22.71974813, 8
3, 114.0874806, 22.55269337, 9
1099, 114.3287404, 22.78805421, 2
588, 114.2966103, 22.77149272, 3
