HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
2288,113.8236042,22.71840044,114.3410788,22.69204305,0,0,0,0,0,3,0
3451,114.3355732,22.71003255,114.3685244,22.73435966,0,0,0,0,0,5,0
3385,113.8803002,22.56997857,114.3685244,22.73435966,0,0,0,0,0,3,0
262,113.8914139,22.57915155,113.8201561,22.67580759,0,0,0,0,0,5,0
2452,114.0424233,22.68753666,114.2335782,22.55134637,0,0,0,0,0,3,0
2384,113.9496673,22.55344059,113.8962859,22.58179492,0,0,0,0,1,3,0
1556,113.8826033,22.55538645,113.8257284,22.65217284,0,0,0,0,0,5,0
1424,113.8505256,22.57003332,114.1190419,22.62508865,0,0,0,0,0,1,0
960,113.8922297,22.54960966,114.1171319,22.567793,0,0,0,0,0,4,0
933,114.0107756,22.63888777,114.1993974,22.70153885,0,0,0,0,0,1,0
597,113.8865032,22.57412312,114.2320571,22.54991148,0,0,0,0,0,5,0
3530,113.94610920609766,22.527054877353233,114.3685244,22.73435966,0,0,0,0,1,0,0
2458,114.1185954,22.59768455,113.9439269,22.55312777,0,0,0,0,1,0,0
1796,113.8288835,22.685504,114.0107756,22.63888777,0,0,0,0,1,2,0
1727,113.8840849,22.55088219,113.8990061,22.56329767,0,0,0,0,0,1,0
1534,113.9367698,22.75570779,114.2226018,22.72278625,0,0,0,0,0,5,0
1190,114.0261157,22.63404516,114.0233353,22.66876881,0,0,0,0,0,3,0
2483,113.8728022,22.55872702,114.2001423,22.65019022,0,0,0,0,0,2,0
1537,113.9477232,22.53044909,114.2920662,22.60289052,0,0,0,0,0,1,0
484,113.9206165,22.51932572,114.1351283,22.55780185,0,0,0,0,0,1,0
1797,113.9605944,22.52511671,114.0596743,22.62833521,0,0,0,0,1,4,0
2449,113.8846552,22.58885046,114.1041339,22.6028314,0,0,0,0,0,4,0
726,113.8511874,22.57309821,114.1330261,22.6173389,0,0,0,0,0,1,0
2484,113.8289193,22.71956443,114.1394023,22.55853072,0,0,0,0,0,5,0
1651,113.8845256,22.55733132,114.1155919,22.56390746,0,0,0,0,0,3,0
217,114.0424233,22.68753666,113.8949938,22.60366993,0,0,0,0,1,1,0
1246,113.9031903,22.57336645,114.2587965,22.73161223,0,0,0,0,0,4,0
1588,114.0123941,22.55631542,114.3096022,22.60178033,0,0,0,0,1,5,0
2255,113.8493022,22.59437716,114.2390716,22.55917562,0,0,0,0,0,2,0
3343,113.8772696,22.56713794,114.017922,22.73325281,0,0,0,0,0,3,0
3498,114.103918,22.53741437,114.1281902,22.61384109,0,0,0,0,0,3,0
1978,113.8289193,22.71956443,114.2302536,22.70924145,0,0,0,0,0,3,0
754,113.8826033,22.55538645,114.1719252,22.56852138,0,0,0,0,0,4,0
1572,113.9552755,22.57637077,114.2172984,22.70310102,0,0,0,0,0,4,0
1621,113.9383125,22.57746684,114.1351283,22.55780185,0,0,0,0,0,5,0
2593,113.8591147,22.57989424,114.2749632,22.69678964,0,0,0,0,0,4,0
1440,113.8922297,22.54960966,114.1337266,22.61583575,0,0,0,0,0,5,0
1897,113.883369,22.59400215,114.1320955,22.57547664,0,0,0,0,0,1,0
685,113.8746316,22.55197004,113.9029163,22.57014649,0,0,0,0,0,1,0
204,113.9248777,22.5101007,114.1351283,22.55780185,0,0,0,0,0,4,0
983,113.8593418,22.62832393,113.9584741,22.52832046,0,0,0,0,0,2,0
2548,113.9040543,22.57707871,113.9316336,22.53157254,0,0,0,0,0,5,0
792,114.0459589,22.56174254,114.1251735,22.69282988,0,0,0,0,0,5,0
2446,113.8522069,22.6141377,114.1351283,22.55780185,0,0,0,0,0,2,0
627,113.8511874,22.57309821,114.1298549,22.55264981,0,0,0,0,0,4,0
738,114.0173094,22.62430723,113.8130641,22.77413682,0,0,0,0,1,1,0
3344,113.9337326,22.76402951,114.1142869,22.59094825,0,0,0,0,0,5,0
2466,113.8840849,22.55088219,114.2044037,22.65303021,0,0,0,0,0,1,0
1237,113.8840849,22.55088219,113.9577915,22.5942434,0,0,0,0,0,2,0
329,114.025783,22.64965565,113.9686058,22.54653142,0,0,0,0,1,1,0
1885,113.9040543,22.57707871,114.4135457,22.63002625,0,0,0,0,1,4,0
1049,113.8885816,22.57839234,114.1214859,22.54613392,0,0,0,0,0,1,0
987,113.9299459,22.74871131,114.0770503,22.54085385,0,0,0,0,1,5,0
1991,114.0518669,22.60421052,114.0424233,22.68753666,0,0,0,0,0,1,0
1771,114.0173094,22.62430723,114.024742,22.65777296,0,0,0,0,1,1,0
2119,114.0966175,22.55546143,114.2654822,22.71616594,0,0,0,0,1,4,0
1975,113.8522069,22.6141377,114.1063035,22.60805859,0,0,0,0,0,5,0
1096,113.8289193,22.71956443,113.8419877,22.76843068,0,0,0,0,1,5,0
221,114.1357676,22.61672765,114.1433109,22.55306729,0,0,0,0,0,3,0
1298,114.0173094,22.62430723,114.2232146,22.68026417,0,0,0,0,0,3,0
648,113.9181211,22.52648799,114.1364108,22.58071642,0,0,0,0,0,3,0
583,113.8593418,22.62832393,114.1381004,22.54593566,0,0,0,0,0,2,0
1118,114.1087436,22.54383051,114.1043673,22.56109889,0,0,0,0,0,5,0
911,113.8746316,22.55197004,114.2390716,22.55917562,0,0,0,0,0,2,0
1324,113.8591147,22.57989424,113.8467509,22.76617068,0,0,0,0,0,2,0
1820,113.8289193,22.71956443,114.1187972,22.54758788,0,0,0,0,0,2,0
1550,113.8505256,22.57003332,114.1019817,22.55545414,0,0,0,0,0,4,0
2478,113.8886117,22.77684509,114.11241,22.54223148,0,0,0,0,1,1,0
1600,113.863216,22.57078846,114.3900155,22.74441126,0,0,0,0,0,5,0
395,114.0382302,22.57611433,114.0461952,22.56901532,0,0,0,0,0,3,0
1366,113.8505256,22.57003332,114.1122834,22.58925196,0,0,0,0,0,1,0
1742,113.8522069,22.6141377,113.8933817,22.5087542,0,0,0,0,1,4,0
1269,113.8957434,22.53233885,114.1351283,22.55780185,0,0,0,0,0,3,0
368,114.1287442,22.55567899,114.0283921,22.6298931,0,0,0,0,0,5,0
445,113.9040543,22.57707871,114.1290024,22.55002197,0,0,0,0,0,3,0
827,113.9234447,22.53452262,113.9299459,22.74871131,0,0,0,0,0,2,0
1574,113.8826033,22.55538645,114.1311411,22.5519085,0,0,0,0,0,3,0
1639,113.9496693,22.55122213,114.238708,22.70154264,0,0,0,0,0,1,0
385,113.9040543,22.57707871,114.1240901,22.55821852,0,0,0,0,0,2,0
3422,113.8885816,22.57839234,114.2294995,22.75382809,0,0,0,0,0,4,0
1822,113.8826033,22.55538645,114.2293875,22.55232667,0,0,0,0,0,2,0
852,113.9464051,22.5290985,114.0233353,22.66876881,0,0,0,0,0,0,0
564,113.8577667,22.58392266,114.0217343,22.65356868,0,0,0,0,0,4,0
700,114.1220831,22.59238119,114.1306867,22.60230633,0,0,0,0,0,1,0
734,114.0518669,22.60421052,114.0459686,22.60518174,0,0,0,0,0,3,0
1263,113.8826033,22.55538645,114.2999413,22.76820291,0,0,0,0,0,1,0
2586,113.8505256,22.57003332,113.8832089,22.78014068,0,0,0,0,1,2,0
2546,114.1119225,22.54455996,114.1192687,22.55819955,0,0,0,0,1,3,0
624,113.8885816,22.57839234,113.9164422,22.54071179,0,0,0,0,0,2,0
3309,114.2025724,22.7228733,114.2146226,22.73517897,0,0,0,0,0,1,0
3459,114.028049,22.56061592,114.0191951,22.54249579,0,0,0,0,0,3,0
2441,114.058055,22.69512613,114.0565727,22.69299886,0,0,0,0,0,4,0
3491,113.8846552,22.58885046,113.883369,22.59400215,0,0,0,0,0,0,0
3376,113.8885816,22.57839234,113.890645,22.57484146,0,0,0,0,0,3,0
3326,113.8845256,22.55733132,113.8987779,22.5518305,0,0,0,0,0,0,0
3428,113.8236042,22.71840044,113.8289193,22.71956443,0,0,0,0,0,0,0
3345,114.3573882,22.68876983,114.3573882,22.68876983,0,0,0,0,1,2,0
1694,114.0829143,22.55096604,114.0829143,22.55096604,0,0,0,0,0,3,0
1111,113.8865032,22.57412312,113.8885816,22.57839234,0,0,0,0,0,5,0
1966,114.0521542,22.71887003,114.0494119,22.72452175,0,0,0,0,0,1,0
3474,113.8865032,22.57412312,113.8803002,22.56997857,0,0,0,0,0,0,0
7717,113.8971125,22.55337372,113.8771498,22.58317542,0,0,0,0,0,4,0
1554,113.8886117,22.77684509,113.8268095,22.64682811,0,0,0,0,1,5,0
1087,113.8289193,22.71956443,113.8295056,22.71524041,0,0,0,0,0,2,0
3319,114.020688,22.5546845,114.0123941,22.55631542,0,0,0,0,0,5,0
7587,113.8930961,22.58007421,113.8865032,22.57412312,0,0,0,0,0,8,0
2582,113.9485403,22.54665421,113.95262746095501,22.55095522286354,0,0,0,0,0,3,0
3570,113.8016913,22.72411911,113.8259751,22.68298054,0,0,0,0,0,5,0
1239,113.8746316,22.55197004,113.9084027,22.53064115,0,0,0,0,0,3,0
3396,114.2078712,22.6531411,114.201737,22.70969063,0,0,0,0,0,2,0
3469,113.9031903,22.57336645,113.8865032,22.57412312,0,0,0,0,0,2,0
788,113.8957434,22.53233885,113.9092736,22.48390027,0,0,0,0,1,6,0
3560,113.8594394,22.61901935,113.8594394,22.61901935,0,0,0,0,0,4,0
3375,114.1277981,22.58868764,114.1335832,22.62485819,0,0,0,0,0,0,0
3370,113.8652014,22.5862659,113.9248777,22.5101007,0,0,0,0,0,0,0
410,113.8593418,22.62832393,113.848971,22.61149351,0,0,0,0,0,1,0
3524,114.0417775,22.61856082,114.041099,22.60560235,0,0,0,0,0,1,0
3562,114.0504754,22.52944558,114.0367893,22.61215185,0,0,0,0,0,0,0
3405,114.0261157,22.63404516,114.0151204,22.63547529,0,0,0,0,0,0,0
1964,113.8505256,22.57003332,113.8841394,22.56825281,0,0,0,0,0,1,0
3445,113.8511874,22.57309821,113.8485196,22.57678478,0,0,0,0,0,5,0
3564,113.9185713,22.50072078,113.92003610325499,22.505327289289575,0,0,0,0,0,0,0
3576,114.0398734,22.6096886,114.0154736,22.65448952,0,0,0,0,0,0,0
3400,113.9256338,22.51572657,113.92438162034674,22.527054877353233,0,0,0,0,0,0,0
