HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
3291,113.8288835,22.685504,114.1466609,22.60673974,0,0,0,0,0,0,0
1801,113.8493022,22.59437716,114.3697374,22.74835856,0,0,0,0,1,2,0
195,114.1083642,22.57636406,114.111386,22.53035179,0,0,0,0,0,4,0
2445,114.0424233,22.68753666,113.8144449,22.67344472,0,0,0,0,0,4,0
2538,113.8493022,22.59437716,114.0755723,22.65681014,0,0,0,0,0,5,0
1688,113.8826033,22.55538645,114.2356595,22.56404745,0,0,0,0,0,3,0
796,114.0239956,22.64331109,114.1762171,22.64703616,0,0,0,0,0,3,0
1691,114.0424233,22.68753666,114.2351148,22.69717051,0,0,0,0,0,2,0
2359,113.8840849,22.55088219,113.93307265458952,22.492290735979946,0,0,0,0,0,5,0
236,113.883369,22.59400215,114.1501174,22.55812182,0,0,0,0,0,4,0
365,113.8987779,22.5518305,114.1657279,22.56885969,0,0,0,0,0,3,0
2237,113.8591147,22.57989424,114.2502282,22.57149983,0,0,0,0,0,5,0
1686,113.880545,22.56089154,114.0726867,22.53441951,0,0,0,0,0,1,0
2363,114.025783,22.64965565,114.2679761,22.715247,0,0,0,0,0,2,0
3324,114.0227262,22.66113226,114.4090079,22.63359562,0,0,0,0,0,0,0
936,114.054181,22.59691261,114.08516576434918,22.544436947233354,0,0,0,0,0,3,0
2365,113.871036,22.56064904,114.2988156,22.77291042,0,0,0,0,0,1,0
1807,114.0154736,22.65448952,114.2228789,22.55547241,0,0,0,0,0,3,0
280,113.8845256,22.55733132,114.2586577,22.59326556,0,0,0,0,0,4,0
370,113.8746316,22.55197004,114.2353215,22.72684749,0,0,0,0,1,4,0
226,113.9195337,22.53600685,114.201737,22.70969063,0,0,0,0,0,1,0
2354,113.8845256,22.55733132,114.2472049,22.71845507,0,0,0,0,0,5,0
1068,113.8826033,22.55538645,114.2382816,22.56736153,0,0,0,0,0,4,0
1205,114.0173094,22.62430723,114.1319202,22.6117906,0,0,0,0,0,3,0
1013,113.8865032,22.57412312,114.1148965,22.58845796,0,0,0,0,0,3,0
932,113.8289193,22.71956443,113.8331494,22.77119285,0,0,0,0,0,3,0
544,113.8577667,22.58392266,114.1334316,22.58150305,0,0,0,0,0,5,0
2374,113.8728022,22.55872702,114.201733475,22.7232949659,0,0,0,0,0,1,0
1850,113.9598081,22.53710949,113.9862955,22.53712077,0,0,0,0,0,1,0
2295,113.8522069,22.6141377,113.8880662,22.59094183,0,0,0,0,0,1,0
